	event_id	event_date	year	month	disorder_type	event_type	sub_event_type	actor1	assoc_actor_1	inter1	actor2	assoc_actor_2	inter2	interaction	civilian_targeting	admin2	location	latitude	longitude	source	source_scale	label	class	notes22	notes	fatalities	timestamp	population_1km	population_2km	population_5km	population_best	crowd_size_class	crowd_size_cat	crowd_size	crowd_size_w_n	with_vehicles	?	split	notes11
11	DEU20174	2024-02-10	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Zeitung; Merkur	National			  staged a protest in front of Brandenburg Gate in    (), advocating against the Iranian government, commemorating the th anniversary of the revolution, and advocating for a focused policy against the Mullahs.	On 10 February 2024, more than 600 people staged a protest in front of Brandenburg Gate in Berlin - Mitte (Berlin), advocating against the Iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the Mullahs.	0	1708472102	23736	43046	138680	23736	5		600.0	600.0				more than 600 people staged a protest in front of Brandenburg Gate in Berlin - Mitte (Berlin), advocating against the Iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the Mullahs.
12	DEU20175	2024-02-10	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost; Jungle World	Other-Subnational			,  staged a protest with proPalestinian banners and under the motto 'Stop war worldwide' in    (), primarily focused on advocating for peace in various regions, including the Middle East. An antiIsraeli protest group disrupted a performance at the  Museum 'Hamburger Bahnhof', where an artist was reading Hannah Arendt's work for  consecutive hours.	On 10 February 2024, around 2,500 people staged a protest with pro-Palestinian banners and under the motto 'Stop war worldwide' in Berlin - Mitte (Berlin), primarily focused on advocating for peace in various regions, including the Middle East. An anti-Israeli protest group disrupted a performance at the Berlin Museum 'Hamburger Bahnhof', where an artist was reading Hannah Arendt's work for 100 consecutive hours.	0	1708472102	23736	43046	138680	23736	7		2500.0	2500.0				around 2,500 people staged a protest with pro-Palestinian banners and under the motto 'Stop war worldwide' in Berlin - Mitte (Berlin), primarily focused on advocating for peace in various regions, including the Middle East. An anti-Israeli protest group disrupted a performance at the Berlin Museum 'Hamburger Bahnhof', where an artist was reading Hannah Arendt's work for 100 consecutive hours.
13	DEU19890	2024-02-08	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6	Protesters (Germany)		6	66		Berlin	Berlin - Steglitz-Zehlendorf	52.428	13.2317	Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung	Other-National			  staged a protest in front of the Free University in   SteglitzZehlendorf (), in solidarity with Palestine, expressing support for the Palestinian cause amid ongoing tensions in the region and criticizing the perceived onesided support for Israel from university administrations and the suppression of criticism against the Israeli government.	On 8 February 2024, around 85 people staged a protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), in solidarity with Palestine, expressing support for the Palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for Israel from university administrations and the suppression of criticism against the Israeli government.	0	1707858599	7830	24852	102728	7830	2		85.0	85.0				around 85 people staged a protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), in solidarity with Palestine, expressing support for the Palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for Israel from university administrations and the suppression of criticism against the Israeli government.
14	DEU19890	2024-02-08	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6	Protesters (Germany)		6	66		Berlin	Berlin - Steglitz-Zehlendorf	52.428	13.2317	Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung	Other-National			  participated in a counterprotest in front of the Free University in   SteglitzZehlendorf (), motivated by a recent assault of a Jewish student and concerns rising antiSemitic sentiments, aiming to show solidarity with Jewish students and to condemn antiSemitic violence.	Around 20 people participated in a counter-protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), motivated by a recent assault of a Jewish student and concerns about rising anti-Semitic sentiments, aiming to show solidarity with Jewish students and to condemn anti-Semitic violence.	0	1707858599	7830	24852	102728	7830	1		20.0	20.0				Around 20 people participated in a counter-protest in front of the Free University in Berlin - Steglitz-Zehlendorf (Berlin), motivated by a recent assault of a Jewish student and concerns about rising anti-Semitic sentiments, aiming to show solidarity with Jewish students and to condemn anti-Semitic violence.
15	DEU19888	2024-02-04	2024	2	Political violence	Riots	Mob violence	Rioters (Germany)		5	Civilians (Germany)	LGBTQ+ (Germany)	7	57	Civilian targeting	Berlin	Berlin - Marzahn-Hellersdorf	52.5223	13.5876	Der Tagesspiegel	Subnational		gender	 men homophobically insulted and attacked a year old man in   MarzahnHellersdorf (), they hit him and brought him to the ground, and continued kicking him until a kiosk owner intervened. The year old man was taken to the hospital with cuts on the forearm and injuries on the neck.	On 4 February 2024, 3 men homophobically insulted and attacked a 23-year old man in Berlin - Marzahn-Hellersdorf (Berlin), they hit him and brought him to the ground, and continued kicking him until a kiosk owner intervened. The 23-year old man was taken to the hospital with cuts on the forearm and injuries on the neck.	0	1707858599	13817	39762	196684	39762	1		3.0	3.0				3 men homophobically insulted and attacked a 23-year old man in Berlin - Marzahn-Hellersdorf (Berlin), they hit him and brought him to the ground, and continued kicking him until a kiosk owner intervened. The 23-year old man was taken to the hospital with cuts on the forearm and injuries on the neck.
16	DEU20102	2024-02-04	2024	2	Political violence	Riots	Mob violence	Rioters (Germany)		5	Civilians (Germany)	LGBTQ+ (Germany)	7	57	Civilian targeting	Berlin	Berlin - Marzahn-Hellersdorf	52.5223	13.5876	Jungle World	Other			a group of unknown men homophobically insulted a year old man in   MarzahnHellersdorf () and beat him up.	On 4 February 2024, a group of unknown men homophobically insulted a 23-year old man in Berlin - Marzahn-Hellersdorf (Berlin) and beat him up.	0	1708472102	13817	39762	196684	39762	0		200.0					a group of unknown men homophobically insulted a 23-year old man in Berlin - Marzahn-Hellersdorf (Berlin) and beat him up.
17	DEU19889	2024-02-03	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Christian Group (Germany); Labor Group (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Kieler Nachrichten	National	against_right_wing		, or ,  (according to the organizers), including labor unionists, church groups, sports groups, left organizations and proPalestine supporters, participated in a protest and a symbolic human chain the Bundestag in    () called for by the alliance 'Hand in Hand', consisting of  civil society organizations, sport clubs, social associations and refugee workers, against farright extremism. The protest was organized following reports a secret meeting AfD members and farright  in Potsdam in November , during which remigration plans were discussed.	On 3 February 2024, around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-Palestine supporters, participated in a protest and a symbolic human chain around the Bundestag in Berlin - Mitte (Berlin) called for by the alliance 'Hand in Hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed.	0	1707858599	23736	43046	138680	23736	11		225000.0	225000.0				around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-Palestine supporters, participated in a protest and a symbolic human chain around the Bundestag in Berlin - Mitte (Berlin) called for by the alliance 'Hand in Hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed.
18	DEU19665	2024-02-02	2024	2	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	LGBTQ+ (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Die Tageszeitung	National			   in front of the Bundestag in    () with a sauna and a SweatIn in defense of the rights of transgender . The protest took place amid the drafting of the SelfDetermination Act, which was set to allow Sauna operators to deny transgender women access to women's saunas at the time of reporting.	On 2 February 2024, around 30 activists protested in front of the Bundestag in Berlin - Mitte (Berlin) with a sauna and a Sweat-In in defense of the rights of transgender people. The protest took place amid the drafting of the Self-Determination Act, which was set to allow Sauna operators to deny transgender women access to women's saunas at the time of reporting.	0	1707254002	23736	43046	138680	23736	1		30.0	30.0				around 30 activists protested in front of the Bundestag in Berlin - Mitte (Berlin) with a sauna and a Sweat-In in defense of the rights of transgender people. The protest took place amid the drafting of the Self-Determination Act, which was set to allow Sauna operators to deny transgender women access to women's saunas at the time of reporting.
19	DEU19701	2024-01-27	2024	1	Demonstrations	Riots	Violent demonstration	Rioters (Germany)		5	Rioters (Germany)	Police Forces of Germany (2021-)	5	55		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Zeitung	National			,  took part in a demonstration near Neptunbrunnen in    () in solidarity with Palestine.	On 27 January 2024, around 2,500 people took part in a demonstration near Neptunbrunnen in Berlin - Mitte (Berlin) in solidarity with Palestine.	0	1707254002	23736	43046	138680	43046	7		2500.0	2500.0				around 2,500 people took part in a demonstration near Neptunbrunnen in Berlin - Mitte (Berlin) in solidarity with Palestine.
20	DEU19278	2024-01-26	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Farmers (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Zeitung	National		agricultural	 farmers staged a protest with their tractors in front of the party headquarter    (), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	On 26 January 2024, around 300 farmers staged a protest with their tractors in front of the party headquarter Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	0	1706649896	23736	43046	138680	23736	4		300.0	300.0	tractors			around 300 farmers staged a protest with their tractors in front of the party headquarter Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.
21	DEU19470	2024-01-24	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Argentinian Group (Germany); Labor Group (Germany); Protesters (Argentina); PTS: Socialist Workers' Party	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	La Capital (Argentina); Rosario3	International			 , including members of the Argentinian Socialist Workers' Party, gathered in front of the Argentine Embassy in    () against the current Argentinian administration and in support of the strike of the Argentinian workers' federations against the government's economic measures. They also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the socalled omnibus law.	On 24 January 2024, more than 150 people, including members of the Argentinian Socialist Workers' Party, gathered in front of the Argentine Embassy in Berlin - Mitte (Berlin) against the current Argentinian administration and in support of the strike of the Argentinian workers' federations against the government's economic measures. They also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.	0	1707254001	23736	43046	138680	23736	3		150.0	150.0				more than 150 people, including members of the Argentinian Socialist Workers' Party, gathered in front of the Argentine Embassy in Berlin - Mitte (Berlin) against the current Argentinian administration and in support of the strike of the Argentinian workers' federations against the government's economic measures. They also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.
22	DEU19261	2024-01-21	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Farmers (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Bayerischer Rundfunk	National		agricultural	, farmers and climate  staged a protest near the Brandenburg Gate in    (), advocating for an immediate energy turnand expressing dissatisfaction with current conditions.	On 21 January 2024, around 1,000 farmers and climate activists staged a protest near the Brandenburg Gate in Berlin - Mitte (Berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.	0	1706649896	23736	43046	138680	23736	6		1000.0	1000.0				around 1,000 farmers and climate activists staged a protest near the Brandenburg Gate in Berlin - Mitte (Berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.
23	DEU19339	2024-01-21	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Dresdner Neueste Nachrichten	National	against_right_wing		,  staged a protest in    (), advocating against the AfD. The protest was prompted by concerns a secret meeting AfD representatives, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against rightwing ideologies in various cities.	On 21 January 2024, around 100,000 people staged a protest in Berlin - Mitte (Berlin), advocating against the AfD. The protest was prompted by concerns over a secret meeting between AfD representatives, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.	0	1706649896	23736	43046	138680	23736	10		100000.0	100000.0				around 100,000 people staged a protest in Berlin - Mitte (Berlin), advocating against the AfD. The protest was prompted by concerns over a secret meeting between AfD representatives, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.
24	DEU19259	2024-01-20	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Farmers (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost	Subnational			, farmers staged a protest near the chancellery in    (), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	On 20 January 2024, around 8,000 farmers staged a protest near the chancellery in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	0	1706649896	23736	43046	138680	23736	8		8000.0	8000.0				around 8,000 farmers staged a protest near the chancellery in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.
25	DEU19386	2024-01-20	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Neukolln	52.481	13.4354	Merkur	National			,  staged a proPalestine protest in    (), aiming to express solidarity with Palestine.	On 20 January 2024, around 1,000 people staged a pro-Palestine protest in Berlin - Neukolln (Berlin), aiming to express solidarity with Palestine.	0	1706649896	13698	46672	192613	13698	6		1000.0	1000.0				around 1,000 people staged a pro-Palestine protest in Berlin - Neukolln (Berlin), aiming to express solidarity with Palestine.
26	DEU19143	2024-01-19	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Farmers (Germany); Labor Group (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Berliner Zeitung; Merkur	National			, truck drivers, freight contractors, craftsmen, and farmers staged a protest near the  Victory Column in    (), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	On 19 January 2024, around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the Berlin Victory Column in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.	0	1706054121	23736	43046	138680	23736	6		1250.0	1250.0	tractors			around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the Berlin Victory Column in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.
27	DEU19066	2024-01-18	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Farmers (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Morgen Post	National			 farmers staged a protest in front of the Brandenburg Gate in    (). The event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.	On 18 January 2024, around 350 farmers staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin). The event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.	0	1706054121	23736	43046	138680	23736	4		350.0	350.0				around 350 farmers staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin). The event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.
28	DEU19178	2024-01-18	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Health Workers (Germany)	6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Der Tagesspiegel	Subnational		health	 healthcare workers from the Jewish Hospital in  staged a protest outside the  Parliament in    (), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.	On 18 January 2024, around 100 healthcare workers from the Jewish Hospital in Berlin staged a protest outside the Berlin Parliament in Berlin - Mitte (Berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.	0	1706054122	23736	43046	138680	23736	3		100.0	100.0				around 100 healthcare workers from the Jewish Hospital in Berlin staged a protest outside the Berlin Parliament in Berlin - Mitte (Berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.
29	DEU19214	2024-01-17	2024	1	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin	Berlin - Mitte	52.5177	13.4024	Der Tagesspiegel	Subnational	against_right_wing		,  staged a protest in front of the Red City Hall in    (), advocating against the Alternative for Germany (AfD). The protest was prompted by concerns a secret meeting of AfD representatives and farright , to discuss mass deportations of individuals with German citizenship and a migrant background, leading to a heightened awareness and mobilization against rightwing ideologies in various cities.	On 17 January 2024, up to 3,500 people staged a protest in front of the Red City Hall in Berlin - Mitte (Berlin), advocating against the Alternative for Germany (AfD). The protest was prompted by concerns over a secret meeting of AfD representatives and far-right activists, to discuss mass deportations of individuals with German citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.	0	1706054122	23736	43046	138680	23736	7		3500.0	3500.0				up to 3,500 people staged a protest in front of the Red City Hall in Berlin - Mitte (Berlin), advocating against the Alternative for Germany (AfD). The protest was prompted by concerns over a secret meeting of AfD representatives and far-right activists, to discuss mass deportations of individuals with German citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.
