County,City,Date,Topic ,Guessed Participants,Actual Participants 
Berlin,Berlin,2022-01-04,"""Menschen mit Schildern"" (vom 04.01. bis 27.12.2022 - jeweils Di.)",30,40
Berlin,Berlin,2022-01-04,"""Wir pfeifen auf Stuttgart 21"" (vom 04.01. bis 29.03.2022 - jeweils Di.)",5,5
Berlin,Berlin,2022-01-05,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-05,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-05,"""Mahnende Kundgebung zum Gedenken an die drei ermordeten kurdischen Politikerinnen Sakine Cansiz, Fidan Dogan und Leyla Saylemez""",50,32
Berlin,Berlin,2022-01-05,"""Antikriegsmahnwache - Kein Krieg und keine Kriegshetze gegen Russland! NATO-Hände weg von der Ukraine und an-deren Ländern, die in ihrem Fadenkreuz stehen!"" (vom 17.11.2021 bis 23.02.2022 - jeweils Mi.)",15,4
Berlin,Berlin,2022-01-05,"""42. Jahrestag der Ermordung Celalettin Kesims""",50,35
Berlin,Berlin,2022-01-05,"""Video-Aktion zur Aufklärung über die Tierindustrie""",20,15
Berlin,Berlin,2022-01-06,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-06,"""Mahnwache zur Aufklärung rechter Straftaten in Neukölln"" (vom 06.01. bis 29.12.2022 - jeweils Do.)",6,
Berlin,Berlin,2022-01-06,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-06,"""Protest gegen Christenverfolgung und die vielfachen Menschenrechtsverletzungen in Nordkorea und gegen das Atom- und Raketenprogramm"" (vom 07.10.2021 bis 06.01.2022 - jeweils Do.)",15,5
Berlin,Berlin,2022-01-06,"""Friedliche und freundliche Unterstützung des Nachbarschaftsdialogs. Entgegenwirken von Spaltung und Diskriminierung jeder Art, durch Förderung von friedlicher Kommunikation miteinander, Gleichberechtigung und fundiertem Verständnis für alle Mitmenschen."" (vom 06.01. bis 29.12.2022 - jeweils Do.)",19,4
Berlin,Berlin,2022-01-06,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.)",15,
Berlin,Berlin,2022-01-06,"""Freiheit für Julian Assange! Pressefreiheit, Meinungsfreiheit, Grundlage von Demokratie und Frieden.""",50,32
Berlin,Berlin,2022-01-07,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-07,"""Fridays for Future; Klimamahnwache für das Pariser Abkommen am Bundestag."" (vom 05.11.2021 bis 28.01.2022 - jeweils Fr.)",12,6
Berlin,Berlin,2022-01-07,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,4
Berlin,Berlin,2022-01-07,"""Familiennachholung aus Afghanistan""",60,38
Berlin,Berlin,2022-01-07,"""Mahnwache gegen rechtsextremistische Tendenzen in Politik und Gesellschaft""",15,3
Berlin,Berlin,2022-01-07,"""Solidarity with Kazakhstan, stop the violence!""",80,64
Berlin,Berlin,2022-01-07,"""Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, groß und klein, KEINE G - Regeln, für ALLE. Das ist für unsere Kinder, sie sollen nicht in Ketten leben, ohne Angst und ohne Tränen. Meinungsfreiheit und Diskurs um die Bevölkerung zu einen. Wir informieren die Bevölkerung über Daten und Fakten sowie die Entwicklungen und Auswirkungen der Coronamaßnahmen und decken Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz auf. Ein klares Nein zur Impfpflicht.""",70,75
Berlin,Berlin,2022-01-07,"""Solidarität mit 30 Jahren Mittwochsdemonstrationen in Korea.""",50,40
Berlin,Berlin,2022-01-08,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-08,"""Mahnwache für Toleranz und ein friedliches Miteinander""",30,15
Berlin,Berlin,2022-01-08,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",7,
Berlin,Berlin,2022-01-08,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,4
Berlin,Berlin,2022-01-08,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",10,
Berlin,Berlin,2022-01-08,"""Solidarität mit Lützerath gegen die Abbaggeung des Dorfs""",50,200
Berlin,Berlin,2022-01-08,"""Grausamkeit des Pelzhandels""",7,7
Berlin,Berlin,2022-01-08,"""Auto und Fahrradkorso. Der Autokorso-Berlin, das Original, eine Informationsversanstaltung für alle Menschen. Wir informieren die Bevölkerung über Daten und Fakten, sowie Entwicklungen und Auswirkungen der CORONAMaßnahmen. Wir sprechen die Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz an. Wir protestieren gegen Maskenpflicht, Mindestabstand, Kontaktbeschränkungen, Reiseverbote, Berufsverbote, Ausgangssperren, Lockdowns, Testzwang und verdeckten Impfdruck in jegliche Art. Insbesondere Schutzbedürftige wie Kinder, Behinderte und Alte dürfen nicht beeinflusst werden. Wir stehen auf gegen die Arroganz und Ignoranz der Regierung der BRD. Wir verurteilen jede Gewalt. Wir stehen auf dem Boden der freiheitlich-demokratischen Grundordnung. Wir fordern unverzüglich die bedingungslose Wiederherstellung aller Grundrechte!""",100,200
Berlin,Berlin,2022-01-08,"""20 Jahre Guantanamo - Schließung des Haftlagers!""",30,32
Berlin,Berlin,2022-01-08,"""Gedenkkundgebung für Karl Liebknecht und Rosa Luxemburg""",30,30
Berlin,Berlin,2022-01-08,"""Kampf gegen die Unterdrückung der Pressefreiheit in Hongkong!""",30,30
Berlin,Berlin,2022-01-08,"""Video-Aktion zur Aufklärung über die Tierindustrie""",24,30
Berlin,Berlin,2022-01-08,"""Demonstration anlässlich des Jahrestages der Ermordung der drei kurdischen Politikerinnen Sakine Cansiz, Fidan Dogan und Leyla Saylemez am 9. Januar 2013 in Paris""",200,180
Berlin,Berlin,2022-01-08,"""Wir sind alle Studenten, die in Deutschland studieren. wir kommen alle aus Kasachstan. Ab 03.01 finden in unserer Heimat Kundgebungen statt. Und das gemeine Volk stirbt. Wir wollen unser kasachisches Volk unterstützen.""",50,65
Berlin,Berlin,2022-01-08,"""Maske auf - Nazis raus""",100,120
Berlin,Berlin,2022-01-08,"""Freiheit für Ali Osman Köse""",20,20
Berlin,Berlin,2022-01-08,"""Heimat und Weltfrieden"" (vom 08.01. bis 31.12.2022 - jeweils Sa.)",20,11
Berlin,Berlin,2022-01-08,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",10,
Berlin,Berlin,2022-01-08,"""Karow impft! Gemeinsam gegen Corona""",20,10
Berlin,Berlin,2022-01-08,"""Kundgebung für den Frieden. ""Hände weg von Russland und China""""",100,40
Berlin,Berlin,2022-01-09,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-09,"""Jährliche Gedenkveranstaltung an die Ermordung von Rosa Luxemburg und Karl Liebknecht""",3000,
Berlin,Berlin,2022-01-09,"""Luxemburg-Liebknecht-Ehrung 2022""",3000,
Berlin,Berlin,2022-01-09,"""Mahnwache anlässlich des 103. Jahrestages der Ermordung von Rosa Luxemburg und Karl Liebknecht""",30,
Berlin,Berlin,2022-01-09,"""Liebknecht-Luxemburg-Gedenken""",300,
Berlin,Berlin,2022-01-09,"""Anlässlich des Jahrestages des Todes Rosa Luxemburgs und Karl Liebknechts möchte die Sozialistische Jugend Deutschlands - Die Falken eine Gedenkkundgebung abhalten.""",100,80
Berlin,Berlin,2022-01-09,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-01-09,"""Unterstützung der friedlichen, algerischen Revolution"" (vom 09.01. bis 10.07.2022 - jeweils So.)",10,4
Berlin,Berlin,2022-01-09,"""Gedenken für Rosa Luxemburg""",30,15
Berlin,Berlin,2022-01-09,"""Treffpunkt Bölschestr. , am Markt"" ( nicht angezeigter coronakritscher Aufzug)",30,
Berlin,Berlin,2022-01-09,"""Treffpunkt Bölschestr. , am Markt"" ( nicht angezeigter coronakritscher Aufzug)",30,
Berlin,Berlin,2022-01-10,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-10,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-10,"""Gegen Drohen Attack, Massen Verhaftung und Humanitäre Blockade in Tigray durch Äthiopien! Deutschland sollagieren und nicht die Regierung helfen!""",500,
Berlin,Berlin,2022-01-10,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",10,4
Berlin,Berlin,2022-01-10,"""Demokratie heißt Solidarität statt Egoismus""",50,70
Berlin,Berlin,2022-01-10,"""Einigkeit und Recht und Freiheit""",140,180
Berlin,Berlin,2022-01-10,"""Freiheit ist manchmal auch Einsicht in die Notwendigkeit, deshalb solidarisch durch die Krise. Für die kritische Vernunft und die Demokratie, mit Abstand gegen Rechts, Antisemiten und Verschwörungsprediger! Kurzfassung: Nu is jleich zappendusta!"" (vom 10.01. bis 28.03.2022 - jeweils Mo.)",200,40
Berlin,Berlin,2022-01-10,"""Spazierstop - Kein Schlafwandeln durch unseren Kiez""",30,60
Berlin,Berlin,2022-01-10,"""Kundgebung gegen rechtsoffene und verschwörungsideologische Spaziergänge""",20,10
Berlin,Berlin,2022-01-10,"""Nein zu Verschwörungsdenken und ""Spaziergängen"" mit Nazis!""",100,70
Berlin,Berlin,2022-01-10,"""Geradedenken gegen Querdenken und Rechts""",50,30
Berlin,Berlin,2022-01-10,"""Protest gegen Hartz 4 und das Bürgergeld - Montag ist der Tag des Widerstands"" (vom 03.01. bis 20.12.2022 - jeweils Mo.)",30,30
Berlin,Berlin,2022-01-10,Rathaus Tempelhof (nicht angezeigte coronakritische Versammlungen),50,150
Berlin,Berlin,2022-01-10,""" Treffpunkt Bürgeramt Lankwitz (nicht angezeigte coronakritische Versammlungen)",,
Berlin,Berlin,2022-01-10,"""Mahnwache am Kanzleramt - Für die sofortige Stilllegung aller Atomanlagen"" (vom 10.01.2022 - 27.06.2022 - jeweils Mo.)",20,5
Berlin,Berlin,2022-01-10,"""Gemeinsinn leben. Demokratische Werte schützen."" (vom 10.01. bis 07.03.2022 - jeweils Mo.)",100,100
Berlin,Berlin,2022-01-10,"""Demokratische Menschenrechte"" (vom 03.01. bis 04.04.2022 - jeweils Mo.)",400,500
Berlin,Berlin,2022-01-10,"""Lauf Demo...""",800,700
Berlin,Berlin,2022-01-10,"""Friedlicher Protest gegen 2G und die Einführung einer Impfpflicht"" (vom 13.12.2021 bis 17.01.2022 - jeweils Mo.)",120,80
Berlin,Berlin,2022-01-11,"""EU-Taxonomie: Atomkraft ist nicht nachhaltig""",30,45
Berlin,Berlin,2022-01-11,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-11,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,4
Berlin,Berlin,2022-01-11,"""Bürgerinnen und Bürger äußern ihre Meinung zur aktuellen Politik und zur Spaltung in der deutschen Gesellschaft.""",35,33
Berlin,Berlin,2022-01-11,"""Solidarität mit Rojava - Kurdistan Solidarität mit Kobane""",50,40
Berlin,Berlin,2022-01-11,"""Gegenprotest zu ""Menschen mit Schildern"" Wissenschaft statt Schwurbel!""",15,18
Berlin,Berlin,2022-01-11,"""Menschen mit Schildern"" (vom 04.01. bis 27.12.2022 - jeweils Di.)",30,40
Berlin,Berlin,2022-01-11,"""Wir pfeifen auf Stuttgart 21"" (vom 04.01. bis 29.03.2022 - jeweils Di.)",5,5
Berlin,Berlin,2022-01-12,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-12,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-01-12,"""Menschenrechtsverletzungen und Hinrichtungen im Iran stoppen. Gedenkveranstaltung für die Opfer des Abgeschossenen Flugzeuges der Ukrain Airline durch die Revolutionsgarden des Mullah-Regimes.""",50,20
Berlin,Berlin,2022-01-12,"""MFA am Limit"" - Medizinische Fachangestellte (MFA) arbeiten seit mehr als 12 Monaten am Limit. Sie werden von den Verantwortlichen in der Politik nicht gesehen. Wir suchen das Gespräch mit Bundestagsabgeordneten, der Öffentlichkeit und Bürgern, um sie über die Leistungen der Medizinischen Fachangestellten in der Corona-Pandemie aufzuklären.""",80,15
Berlin,Berlin,2022-01-12,"""Antikriegsmahnwache - Kein Krieg und keine Kriegshetze gegen Russland! NATO-Hände weg von der Ukraine und an-deren Ländern, die in ihrem Fadenkreuz stehen!"" (vom 17.11.2021 bis 23.02.2022 - jeweils Mi.)",15,4
Berlin,Berlin,2022-01-12,"""Nieder mit der Diktatur in Kasachstan! Schluss mit der Repression – Nieder mit der Regierung – Solidarität mit den Protesten - Beendet die militärische Intervention!""",50,24
Berlin,Berlin,2022-01-12,"""Video-Aktion zur Aufklärung über die Tierindustrie""",15,12
Berlin,Berlin,2022-01-13,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-13,"""Mahnwache zur Aufklärung rechter Straftaten in Neukölln"" (vom 06.01. bis 29.12.2022 - jeweils Do.)",8,
Berlin,Berlin,2022-01-13,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-01-13,"""Aktion gegen Bärenfell für die (Mützen der) Garde der Queen""",12,5
Berlin,Berlin,2022-01-13,"""Für die Menschenrechte in Nordkorea: Gegen die schwere Christenverfolgung Gegen Bomben und Raketen, für die atomare Abrüstung; dafür ""genug zum Essen für alle"" Auflösung der Konzentrationslager"" (vom 13.01. bis 14.04.2022 - jeweils Do.)",15,9
Berlin,Berlin,2022-01-13,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.)",18,
Berlin,Berlin,2022-01-13,"""Kiezspaziergang“ (nicht angezeigte, coronakritische Versammlung)",30,30
Berlin,Berlin,2022-01-14,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-14,"""Fridays for Future; Klimamahnwache für das Pariser Abkommen am Bundestag."" (vom 05.11.2021 bis 28.01.2022 - jeweils Fr.)",12,7
Berlin,Berlin,2022-01-14,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-01-14,"""Fridays for Future Aktionstag zur EU Taxonomie""",50,50
Berlin,Berlin,2022-01-14,"""Mahnwache und Gebet von Christen aus ganz Deutschland aufgrund jüngster antisemitischer Ausschreitungen mit Aufruf zu Terror und Mord auf deutschen Boden""",25,8
Berlin,Berlin,2022-01-14,"""Demokratiemahnwache""",4,5
Berlin,Berlin,2022-01-14,"""Hoffnungslicht, dass wir in die Hand nehmen"" für - ein friedliches Miteinander - Respekt und gegenseitige Rücksichtnahme""",20,19
Berlin,Berlin,2022-01-15,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-15,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-01-15,"""Globale Impfgerechtigkeit""",10,11
Berlin,Berlin,2022-01-15,"""Grausamkeit des Pelzhandels""",7,7
Berlin,Berlin,2022-01-15,"""Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, groß und klein, KEINE G - Regeln, für ALLE. Wir sind Menschen aus der Mitte unserer Bevölkerung.""",70,40
Berlin,Berlin,2022-01-15,"""Großer Auto-und Fahrradkorso vom Autokorso-Berlin, eine Informationsversanstaltung für alle Menschen. Wir informieren die Bevölkerung über Daten und Fakten, sowie Entwicklungen und Auswirkungen der CORONAMaßnahmen. Wir sprechen die Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz an. Wir protestieren gegen Maskenpflicht, Mindestabstand, Kontaktbeschränkungen, Reiseverbote, Berufsverbote, Ausgangssperren, Lockdowns, Testzwang und verdeckten Impfdruck in jegliche Art. Insbesondere Schutzbedürftige wie Kinder, Behinderte und Alte dürfen nicht beeinflusst werden. Wir stehen auf gegen die Arroganz und Ignoranz der Regierung der BRD. Wir verurteilen jede Gewalt. Wir stehen auf dem Boden der freiheitlich-demokratischen Grundordnung. Wir fordern unverzüglich die bedingungslose Wiederherstellung aller Grundrechte!""",200,104
Berlin,Berlin,2022-01-15,"""Tunesier versammeln sich für die Freiheit und Demokratie in Ihrer Heimat""",80,60
Berlin,Berlin,2022-01-15,"""Zur Solidarität mit dem ""Blaulicht-Personal"", und für die Rechte der Kinder.""",2000,
Berlin,Berlin,2022-01-15,"""Gedenkveranstaltung zum Todestag von Rosa Luxemburg""",50,40
Berlin,Berlin,2022-01-15,"""Gedenkspaziergang zum Todestag von Rosa Luxemburg""",20,
Berlin,Berlin,2022-01-15,"""Freiheit für Ali Osman Köse""",10,8
Berlin,Berlin,2022-01-15,"""Solidarisierung mit Krankenhäusern, an denen Autokorsos von Querdenker*innen, vorbeifahren""",30,
Berlin,Berlin,2022-01-15,"""Luxemburg-Liebknecht-Ehrung""",100,230
Berlin,Berlin,2022-01-15,"""Heimat und Weltfrieden"" (vom 08.01. bis 31.12.2022 - jeweils Sa.)",20,17
Berlin,Berlin,2022-01-15,"""11. Kundgebung: Techno rules this City - Techno is Love - We are Techno""",100,60
Berlin,Berlin,2022-01-15,"""Impfen statt „spazieren“ - Pandemie bekämpfen - Für Demokratie und Zusammenhalt""",100,43
Berlin,Berlin,2022-01-15,nicht angezeigter coronakritischer Aufzug,80,
Berlin,Berlin,2022-01-15,Gegenkundgebung zum Fahrzeug- und Fahrradkorso,10,
Berlin,Berlin,2022-01-16,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
Berlin,Berlin,2022-01-16,"""Sunday for Peace (...).""",50,2
Berlin,Berlin,2022-01-16,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,5
Berlin,Berlin,2022-01-16,"""Freiheit für alle politischen Gefangenen Russlands""",100,35
Berlin,Berlin,2022-01-16,"""Unterstützung der friedlichen, algerischen Revolution"" (vom 09.01. bis 10.07.2022 - jeweils So.)",10,5
Berlin,Berlin,2022-01-16,nicht angezeigter coronakritischer Aufzug,80,
Berlin,Berlin,2022-01-17,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",30,
