note,description,predicted label,score
11,"More than 600 people staged a protest in front of brandenburg gate in berlin - mitte (berlin), advocating against the iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the mullahs.",Conflict,0.9156860709190369
12,"Around 2,500 people staged a protest with pro-palestinian banners and under the motto 'stop war worldwide' in berlin - mitte (berlin), primarily focused on advocating for peace in various regions, including the middle east. an anti-israeli protest group disrupted a performance at the berlin museum 'hamburger bahnhof', where an artist was reading hannah arendt's work for 100 consecutive hours.",Conflict,0.8536779284477234
13,"Around 85 people staged a protest in front of the free university in berlin - steglitz-zehlendorf (berlin), in solidarity with palestine, expressing support for the palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for israel from university administrations and the suppression of criticism against the israeli government.",Solidarity,0.9848824739456177
14,"Around 20 people participated in a counter-protest in front of the free university in berlin - steglitz-zehlendorf (berlin), motivated by a recent assault of a jewish student and concerns about rising anti-semitic sentiments, aiming to show solidarity with jewish students and to condemn anti-semitic violence.",Conflict,0.9640678763389587
15,"Around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-palestine supporters, participated in a protest and a symbolic human chain around the bundestag in berlin - mitte (berlin) called for by the alliance 'hand in hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. the protest was organized following reports about a secret meeting between afd members and far-right activists in potsdam in november 2023, during which remigration plans were discussed.",Conflict,0.8618071675300598
16,"Around 30 activists protested in front of the bundestag in berlin - mitte (berlin) with a sauna and a sweat-in in defense of the rights of transgender people. the protest took place amid the drafting of the self-determination act, which was set to allow sauna operators to deny transgender women access to women's saunas at the time of reporting.",LGBTQ+,0.9158710241317749
17,"Around 2,500 people took part in a demonstration near neptunbrunnen in berlin - mitte (berlin) in solidarity with palestine.",Solidarity,0.9875826835632324
18,"Around 300 farmers staged a protest with their tractors in front of the party headquarter berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.",Agriculture,0.9510337710380554
19,"More than 150 people, including members of the argentinian socialist workers' party, gathered in front of the argentine embassy in berlin - mitte (berlin) against the current argentinian administration and in support of the strike of the argentinian workers' federations against the government's economic measures. they also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.",Conflict,0.9385108351707458
20,"Around 1,000 farmers and climate activists staged a protest near the brandenburg gate in berlin - mitte (berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.",Climate Change,0.8735131621360779
21,"Around 100,000 people staged a protest in berlin - mitte (berlin), advocating against the afd. the protest was prompted by concerns over a secret meeting between afd representatives, discussing mass deportations of individuals with german citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.",Conflict,0.8479084968566895
22,"Around 8,000 farmers staged a protest near the chancellery in berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.",Agriculture,0.9284859299659729
23,"Around 1,000 people staged a pro-palestine protest in berlin - neukolln (berlin), aiming to express solidarity with palestine.",Solidarity,0.9902974367141724
24,"Around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the berlin victory column in berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.",Transportation,0.9647771120071411
25,Around 350 farmers staged a protest in front of the brandenburg gate in berlin - mitte (berlin). the event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.,Agriculture,0.9668852686882019
26,"Around 100 healthcare workers from the jewish hospital in berlin staged a protest outside the berlin parliament in berlin - mitte (berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.",Medical,0.9756596684455872
27,"Up to 3,500 people staged a protest in front of the red city hall in berlin - mitte (berlin), advocating against the alternative for germany (afd). the protest was prompted by concerns over a secret meeting of afd representatives and far-right activists, to discuss mass deportations of individuals with german citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.",Conflict,0.8696398138999939
28,Several hundred people with about 330 vehicles held a vigil in front of brandenburger tor in berlin - mitte (berlin) throughout the day called for by the association 'free farmers' (freie bauern). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.,Agriculture,0.9440733790397644
29,600 people participated in a protest in berlin - mitte (berlin) called for by dig and the israeli embassy to commemorate the israeli hostages held by hamas.,Conflict,0.8942273855209351
30,"25,000 people, including human rights activists, left party federal chair janine wissler, participated in a protest in berlin - mitte (berlin) called for by 'joint general association' (paritatischer gesamtverband), fridays for future, and numerous other organizations, and supported by jusos, gj, grannies against the right, extinction rebellion and the association 'hawwar help' (an association that stands up for a self-determined life in safety for everyone) under the motto 'defend democracy, stick together' against the shift to the right in germany and the afd. the protest occurred in the context of recent reports of a secret meeting between afd members and right-wing extremists in potsdam past november.",Conflict,0.8757774233818054
31,"Farmers gathered with their vehicles, blocking a highway between the teltow/ber exit and nahmitzer damm in berlin - tempelhof-schoneberg (berlin). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.",Agriculture,0.9850158095359802
32,"Several hundred protesters gathered at the central station in berlin - mitte, demanding an urgent ceasefire in gaza. the protesters shouted pro-palestinian chants.",Conflict,0.958808958530426
33,"350 people, including fff and the greens representatives, protested against fascism, racism, and social exclusion in berlin - mitte, voicing their dissatisfaction with the plan proposed by the right-wing forces in the country, which implies expelling the population with migrant backgrounds. the protesters also called for banning the afd political party.",Against Racism,0.9628574848175049
34,"Overnight, 25 people with 24 tractors, 14 trucks and 4 cars, staged a vigil in front of brandenburger tor in berlin - mitte (berlin). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.",Agriculture,0.9456935524940491
35,"16 last generation activists protested at innsbrucker platz in berlin - tempelhof-schoneberg (berlin) to raise awareness about the climate crisis and to denounce 'double standards' in the coverage of their protests and their climate demands, and those of the farmers, many of whom were protesting against planned cuts to agricultural subsidies at the time of reporting. the police intervened and carried the protesters off the street.",Police Violence,0.9008731245994568
36,"Around 48 farmers staged a protest with their tractors along the 17 of june street in berlin - mitte (berlin), as part of a nationwide farmers' demonstration movement against the german government's agricultural policies, protesting against the planned budget cuts concerning agrardiesel and vehicle tax exemptions.",Agriculture,0.9621222615242004
37,"Around a dozen last generation activists staged a protest in front of the brandenburg gate in berlin - mitte (berlin), referencing ongoing heavy rainfall in germany with slogans like 'climate protection is the best monument protection' and 'floods know no monument protection'; the activists also stacked sandbags in front of the brandenburg gate.",Climate Change,0.7789454460144043
38,"Around 100 individuals staged a protest in front of the university of arts in berlin - charlottenburg-wilmersdorf (berlin) with the motto 'against every anti-semitism and islamism. antifa means solidarity with israel', demanding the immediate release of all hostages in the israel-hamas war and expressing support for israel.",Solidarity,0.9446947574615479
39,"Approximately 700 individuals staged a protest in berlin - neukolln (berlin), taking part in a car procession consisting of around 230 cars, protesting against the israeli military campaign in gaza and expressing solidarity with palestine under the slogan 'palestine will be free.'",Solidarity,0.9852038621902466
40,"About 300 people participated in a protest in front of the prison in moabit in berlin - mitte (berlin) in solidarity with the prisoners, for the abolishment of prisons and against the repressions of defendants.",Solidarity for Prisoners,0.986393928527832
41,"About 2,000 people participated in a pro-palestine protest in berlin - neukolln (berlin) under the motto 'no new year's eve - solidarity with palestine'.",Solidarity,0.981207549571991
42,About 60 people participated in a protest in front of the prison in tegel in berlin - reinickendorf (berlin) in solidarity with the prisoners and for the abolishment of prisons as well as against the repressions of defendants.,Solidarity for Prisoners,0.9864251613616943
43,About 500 people participated in a pro-palestine protest in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'solidarity with palestine'.,Solidarity,0.9597922563552856
44,"Up to 100 people, including israeli immigrants, participated in a protest in berlin - mitte (berlin) close to the foreign ministry called for by the newly found network 'israelis fur den frieden' (israelis for peace) against the war in gaza and what they claim to be a genocide, as well as for an immediate ceasefire, for a diplomatic solution and for the exchange of all hostages. the participants were also against german arms deliveries to israel, against netanyahu's right-wing government and the illegal occupation and settlement policy.",Conflict,0.9052119255065918
45,"Around 2,000 people protested in berlin - friedrichshain-kreuzberg (berlin), demonstrating solidarity with palestine, condemning the bombing of gaza, and advocating for an end to the conflict in the middle east, marching from hallesches tor in kreuzberg to the brandenburg gate.",Solidarity,0.9832354187965393
46,"Around 100 individuals, including palestinian, jewish, and allied students, staged a protest at the university of the arts in berlin - charlottenburg-wilmersdorf (berlin), criticizing the universities' handling of the gaza conflict, demanding solidarity and advocating for palestinian rights while condemning what they perceive as biased narratives and censorship by universities regarding the conflict in the gaza strip.",Conflict,0.9294758439064026
47,"Tenants' representatives from berlin's municipal housing companies staged a protest in berlin in bulowstreet-ost (berlin - tempelhof-schoneberg, berlin), protesting against rent increases following the termination of social commitments, emphasizing the impact on tenants due to heightened rents.",Conflict,0.96446692943573
48,"About 300 activists gathered for a pro-palestine rally at the main train station in berlin - mitte (berlin), condemning the israeli occupation.",Conflict,0.9315162301063538
49,"8-10 thousand farmers gathered for a rally in berlin - mitte (berlin), protesting against the proposed reduction of tax bonuses for agricultural fuel. associations of farmers organized gatherings and rides also at numerous other locations across the country.",Agriculture,0.9191446304321289
50,"About 750 activists in 500 cars demonstratively rode through berlin - neukolln (berlin), demanding freedom for palestine.",Solidarity for Prisoners,0.9915624260902405
51,"Activists gathered for a rally in berlin - mitte (berlin), demanding immediate climate action.",Climate Change,0.9837468266487122
52,"About 50 parents and students gathered near their school in berlin - neukolln (berlin), demanding better conditions for studies and learning, especially more teachers.",Education,0.9512990117073059
53,"About 300 activists gathered for a pro-palestine march from wittenberg square to olivaer square in berlin - charlottenburg-wilmersdorf (berlin), decrying the violence perpetrated by israel on palestinian civilians.",Solidarity,0.9382418394088745
54,"Leftist and anti-fascist activists gathered for a rally at an unspecified location in berlin (berlin), demanding immediate release of one of their fellows, currently facing trial in detention for their political activities.",Solidarity for Prisoners,0.9112286567687988
55,"Several dozen activists, mostly students, gathered with pickets for a silent rally near the free university in berlin - steglitz-zehlendorf (berlin), declaring their support for israel amid the israel-hamas war. the event was organized by the movement 'fridays for israel'.",Solidarity,0.9614221453666687
56,"Between 50 and 60 students and activists from 'students for free palestine' occupied a lecture hall at free university in berlin - steglitz-zehlendorf (berlin) and prevented jewish students from entering. police officers were present and verified the protesters' identities. during the occupation, there were also physical confrontations between pro-palestinian activists and university students who tried to stop the occupation by tearing down flyers and posters. a police spokesman said several reports of assault had been made. two demonstrators were slightly injured and complained of pain.",Conflict,0.9090065360069275
57,"Around 2,500 people demonstrated along friedrichstrasse in berlin - mitte (berlin) in solidarity with palestine and to call for an end to arms deliveries to israel, accusing the country of engaging in a 'genocide'. members of bds were present to call for the boycott of the state of israel and israeli products because of its actions against palestinians.",Solidarity,0.9727969765663147
58,"Between 3,000 (according to the police) and 11,000 (according to organizers) people, including the mayor of berlin (cdu), federal labor minister (spd), officials of the greens, the bundestag president (spd), and a rabbi, demonstrated from victory column to the brandenburg gate in berlin - mitte (berlin) against anti-semitism, hatred, racism, and xenophobia. protesters called for solidarity and respectful coexistence, as well as a de-correlation between anti-semitism and anti-israel sentiments amid the 2023 israel-hamas war. they gathered under the motto 'never again is now, germany stands up'.",Against Racism,0.9694138169288635
59,"At the call of xr, last generation, and scientist rebellion, between 150 (according to the police) and 400 (according to organizers) people blocked traffic on the elsenbrucke (elsen bridge) in berlin - friedrichshain-kreuzberg (berlin) against the fossil fuel industry and the expansion of the city highway a100. police officers intervened to remove some activists who had glued themselves to the road.",Conflict,0.9821857213973999
60,Borussia monchengladbach football club supporters staged a protest by displaying placards and banners inside union berlin football club's stadium an der alten forsterei in berlin - treptow-kopenick (berlin) against an investor of the german football league (dfl).,Conflict,0.9809748530387878
61,"At the call of ffi (fridays for israel), around 80 people, including members of ju, cdu, an mp (the greens), dig, the jewish community, and students, gathered at the udk - universitat der kunste (university of the arts) on hardenbergstrasse in berlin - charlottenburg-wilmersdorf (berlin) in support of israel and against anti-semitism at universities. protesters chanted 'free gaza from hamas.'",Solidarity,0.9717340469360352
62,"Almost 50 people, including members of grannies against the right, the left, spd, the greens, and dgb, demonstrated in front of the maestral restaurant opposite the reinickendorf town hall in berlin - reinickendorf (berlin) against the far-right political party afd, which they denounced as 'a fascist, racist, xenophobic and anti-constitutional party whose aim is to destabilize the basic democratic order and divide society.'",Conflict,0.9755895733833313
63,"In the morning, at the call of ver.di, gew, and the police union gdp - gewerkschaft der polizei, around 13,000 striking employees gathered at ernst-reuter square and marched toward kurfurstendamm in berlin - charlottenburg-wilmersdorf (berlin) to protest for better pay. they had gathered while a conference of german labor and social ministers was taking place in the city.",Conflict,0.8841496109962463
64,"People, including members of the humanitarian and development organization 'action against hunger', with the support of weact (campact's petition platform), protested in berlin (berlin) and handed over a petition signed by 77,000 people as part of the campaign 'nestle: stop your advertising for baby milk' to call on nestle to adhere to the guidelines of the who and stop advertising for powdered baby milk.",Solidarity,0.8057923913002014
65,"Last generation activists protested at schonhauser allee, standing in front of the schonhauser arcaden, in berlin - pankow (berlin), demanding more climate action.",Climate Change,0.9867566227912903
66,"Xr activists protested in berlin (berlin), demonstrating in several subways dressed as flight attendants, against the united nations climate change conference (cop28) simultaneously taking place in dubai, which they consider a greenwashing event by politicians and lobbyists.",Climate Change,0.9767854809761047
67,People participated in a vigil on brunnenstrasse in berlin - mitte (berlin) to condemn anti-semitism amid the 2023 israel-hamas war.,Conflict,0.9271392822265625
68,"About 2,000 people participated in a pro-palestine protest in berlin - mitte (berlin) under the motto 'stop the genocide in gaza'. the police arrested some of the participants.",Conflict,0.8166031837463379
69,About 80 tenants of 'deutsche wohnen' in britzer strasse protested in mariendorf in berlin - tempelhof-schoneberg (berlin) against what they called 'unacceptable' living conditions.,Conflict,0.8582407832145691
70,Around 430 people participated in a pro-palestine protest in berlin - friedrichshain-kreuzberg (berlin) under the motto 'solidarity with palestine' amid the 2023 israel-hamas war.,Conflict,0.9647103548049927
71,"6 last generation activists, including some working in craft-related professions, protested in berlin - friedrichshain-kreuzberg (berlin) by gluing themselves onto and blocking blucherstrasse close to the chamber of crafts to raise awareness about the consequences of the climate crisis on trade, industry and agriculture. the police intervened to detach and remove the activists from the road.",Climate Change,0.9696352481842041
72,"Scientist rebellion activists protested in berlin - mitte (berlin) for an end to climate-damaging subsidies and the fossil-fuel era, and called on the german government to implement concrete actions to tackle climate change. they had gathered on the occasion of the un climate change conference cop28, which was simultaneously taking place in dubai.",Conflict,0.8780941367149353
73,About 70 people participated in a protest in berlin - mitte (berlin) called for by ver.di to raise awareness for staff shortage and the increased workload in daycare centers.,Conflict,0.5870006084442139
74,People participated in a protest under the motto 'solidarity for palestine' in berlin - friedrichshain-kreuzberg (berlin).,Solidarity,0.8934537768363953
75,People participated in a protest under the motto 'freedom and peace for palestine' at mathilde-jacob-platz in berlin - mitte (berlin).,Solidarity for Prisoners,0.6956285834312439
76,About 2 dozen students participated in a protest at universitat der kunste in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'strike for palestine' in solidarity with palestine.,Solidarity,0.9443598389625549
77,About 200 people participated in an antimilitarist and anticapitalist protest in berlin - friedrichshain-kreuzberg (berlin) against the berlin security conference and all wars.,Against War,0.9923622012138367
78,"Greenpeace activists gathered in berlin - mitte for a rally, protesting against the ongoing summit of car industry stakeholders and companies taking place in the official residence of the chancellor and calling for more efforts for climate-friendly policies.",Climate Change,0.8235382437705994
79,"Teachers and other employees in the educational sector affiliated with gew union gathered in berlin, demanding higher wages and other social benefits.",Education,0.9823075532913208
80,"About 1,000 people gathered for a rally in berlin - friedrichshain-kreuzberg, protesting against a proposed legal restriction of asylum requirements.",Conflict,0.8746617436408997
81,"About 10,000 people gathered for a rally in berlin - mitte, protesting against wars and violence. led by a controversial left-wing politician, they condemned the violence committed by hamas and supported the people of israel, but also protested against ongoing arms supplies to ukraine, calling for peace talks instead.",Against War,0.9826782941818237
82,"About 800 last generation activists gathered and blocked a street in berlin - charlottenburg-wilmersdorf, demanding immediate climate action.",Climate Change,0.9852786660194397
83,"About 3,200 people gathered for a pro-palestinian rally in berlin - mitte.",Solidarity,0.6964156627655029
84,"About 31 last generation activists gathered and blocked a street in berlin - treptow-kopenick, demanding immediate climate action.",Climate Change,0.9831240773200989
85,"As part of a national day of strike called by igm and igbce, about 2,000 industrial workers gathered for a rally near the ministry of finance in berlin - mitte (berlin), demanding cheaper electricity tariffs in order to preserve local production and workplaces.",Conflict,0.873979926109314
86,"Ver.di labor union representatives of state employees, including teachers, police officers, firefighters, and administration officials, gathered for a march in berlin - mitte (berlin), demanding higher salaries.",Employee,0.7831507325172424
87,"Around 75 people protested in berlin - mitte (berlin) on the occasion of international children's day, for the release of the children abducted by hamas.",International,0.8935421705245972
88,"1,400 people, including university employees, participated in a protest in front of the main building of humboldt-university in berlin - mitte (berlin) called for by ver.di and gew under the motto 'an end to precarious science' in the context of a nationwide university warning strike due to the ongoing collective bargaining for the public service of the federal states.",Conflict,0.791496753692627
89,"500 people, including members of the jewish community, participated in a protest in berlin - charlottenburg-wilmersdorf (berlin) called for by the organization 'judisches leben berlin (jlb)' (jewish life berlin) against anti-semitism and for solidarity with israel.",Solidarity,0.8999260067939758
90,"At the call of 'verband der kurdinnen in deutschland (yjk-e)' (association of kurdish women in germany), between around 4,000 (according to police) and 6,000 people (according to the organizers), including members of the kurdish and turkish communities, marched from oranienplatz in berlin - friedrichshain-kreuzberg to schlossplatz in berlin - mitte (berlin) against the ban on the kurdistan workers' party (pkk) and the politics of turkiye's president erdogan. one demonstrator hit a police officer with a flagpole and was arrested. at the end of the demonstration, clashes occurred when police officers wanted to check the identity of a demonstrator who had previously shouted banned slogans. the organizing committee of the demonstration later criticized police violence during the demonstration.",Conflict,0.9767521619796753
91,"About 5,000 people, including many women, participated in a pro-palestine protest starting on friedrichstrasse and ending on grosser stern in berlin - mitte (berlin) for solidarity with palestine and respect for human rights and freedom of expression, and against hatred, anti-semitism, israel's actions in the gaza strip and the german government's reluctance to call out what they claim to be israel's war crimes.",Solidarity,0.9620246291160583
92,"Employees of five aid organizations, arbeiter-samariter-bund (asb), deutsche lebensrettungsgesellschaft (dlrg) (german life saving association), deutsches rotes kreuz (drk) (german red cross), johanniter and malteser, protested in front of the house of representatives in berlin - mitte (berlin) against the underfunding of civil protection and disaster control.",Employee,0.8884412050247192
93,"Around 120 people, including federal education minister bettina stark-watzinger (fdp), jewish pianist igor levit, and federal green party leader ricarda lang, participated in a protest at the humboldt-university in berlin - mitte (berlin) called for by fridays for israel (ffi) for the safety of jewish students, and to emphasize the right of existence of israel and show solidarity with jewish people.",Solidarity,0.9845306277275085
94,"Around 20 members of the 'gesellschaft fur bedrohte volker (gfbv)' (society for threatened peoples) and the 'syrian kurdish diaspora network in europe e.v.', protested near schloss bellevue in berlin - mitte (berlin) under the motto 'no red carpet for the islamist erdogan' against the visit of turkiye's president erdogan to germany. shortly after, about 50 people participated in a protest in front of the chancellor's office in berlin - mitte (berlin) for the same reasons.",Conflict,0.8781880736351013
95,50 to 80 activists occupied the offices of district councilor thorsten schatz in berlin - spandau (berlin) for about an hour and demanded a change to a decision made by the environmental and nature conservation department. the group entered the building and threatened one of the security guards with a pipe wrench.,Conflict,0.9308690428733826
96,"Around 3,000 employees of the public services, including employees of daycare centers, social workers, and educators in youth, health, and social services offices, as well as members of awo, participated in a protest in front of the house of representatives in berlin - mitte (berlin), called for by ver.di and gew against poor working conditions and for higher wages.",Conflict,0.8305417895317078
97,Around 600 people participated in a pro-palestine protest starting at oranienplatz in berlin - friedrichshain-kreuzberg and ending in berlin - neukolln (berlin) calling for a free palestine.,Solidarity for Prisoners,0.9071794748306274
98,80 to 100 students participated in a protest at universitat der kunste in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'it's not complicated' in solidarity with palestine and to draw attention to what they see as german politicians' complicity in the violence against gaza.,Solidarity,0.8287983536720276
99,"Around 2,600 (according to the police) people gathered in berlin - friedrichshain-kreuzberg (berlin) for a pro-palestine demonstration. they called for freedom for palestine and spoke of genocide to define israel's military operation in the gaza strip. police officers temporarily arrested some demonstrators for carrying banners that they judged had 'criminal content'.",Conflict,0.884101390838623
100,"During the evening, at the call of vereinigtes palastinensisches komittee (united palestinian committee), around 500 (according to the police) people gathered at the checkpoint charly and marched along friedrichstrasse in berlin - mitte (berlin) for a pro-palestine demonstration under the motto 'solidarity with palestine'.",Solidarity,0.9760480523109436
101,"During the morning, at the call of ju, around 170 people, including mps (cdu), jewish students, and politicians, gathered in front of the main building of the freien universitat of berlin (fu) in berlin - steglitz-zehlendorf (berlin) in solidarity with israel, against anti-semitism, and against pro-palestine demonstrations. they promoted israel's right to 'self-defense'. protesters carried israeli flags and israeli rainbow flags.",Solidarity,0.9854166507720947
102,"Around 250 people gathered in berlin - friedrichshain-kreuzberg (berlin) for a pro-palestinian demonstration, consisting of a silent march with palestinian flags.",Solidarity,0.9334373474121094
103,"Around 4,000 (according to organizers) people from several local welfare associations (including caritas) and dgb members demonstrated in front of the roten rathaus in berlin - mitte (berlin) to call on the government to provide more money for independent social institutions. they gathered amid budget negotiations in berlin as well as at the federal level.",Solidarity,0.6458208560943604
104,"Campact activists gathered for a rally in berlin - mitte (berlin), near the office of the chancellor, demanding the preservation of cheap public transport in order to mitigate climate change.",Climate Change,0.9792871475219727
105,"About 450 people, including members of the local jewish community, took part in a march in berlin - tempelhof-schoneberg (berlin), declaring their solidarity with israel and condemning the 7 october 2023 attacks by hamas.",Solidarity,0.9732581973075867
106,"At the call of several pro-palestinian groups, about 6,000 people took to the streets of berlin - mitte (berlin), expressing their support for palestine and condemning the israeli military campaign in and around the gaza strip.",Conflict,0.9318611025810242
107,"About 160 people, including students, participated in a pro-palestine protest at the freie universitat in berlin - steglitz-zehlendorf (berlin) to demand an end of what they claim to be a genocide in gaza, a ceasefire and an end to the war.",Conflict,0.956087052822113
108,"At the call of several pro-palestinian organizations, about 9,000 people, including members of the leftist scene, took to the streets in berlin - neukolln (berlin), expressing solidarity with palestine and condemning the military campaign of israel in and around gaza. at least 68 people were arrested for carrying or chanting 'provocative' slogans.",Solidarity,0.8869330883026123
109,At peak 150 people participated in a protest in front of the ernst-abbe high school in berlin - neukolln (berlin) under the motto 'for freedom of speech and assembly'. the context of the demonstration is a conflict between a teacher and a student that escalated at the high school after the outbreak of the israeli war.,Conflict,0.7618927359580994
110,"More than 10 residents demonstrated in front of the north korean embassy in berlin - mitte (berlin) to call for the release of political prisoners in north korea, the dismantling of political prison camps, and the guarantee of human rights in north korea. they were said to gather every thursday evening.",Rights,0.9259927868843079
111,"Around 1,200 people participated in a pro-palestine protest between adenauerplatz and henriettenplatz on kurfurstendamm in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'demonstration in solidarity with palestine'. during the protest isolated violations of the requirement to refrain from propagandistic or violence-glorifying statements and actions occurred, and one loudspeaker van was stopped by the police and excluded from the demonstration.",Conflict,0.6358964443206787
112,"In total 1,800 people participated in a protest on wittenbergplatz in berlin - tempelhof-schoneberg (berlin) under the motto 'call for the release of the israeli hostages kidnapped by hamas on october 7'.",Conflict,0.9089484810829163
113,"Around 50 people, members of the initiative '100% tempelhofer feld', demonstrated in front of the rotes rathaus in berlin - mitte against further construction on tempelhofer feld decided by the senate.",Conflict,0.9599520564079285
114,3 members of last generation staged a protest by blocking traffic on three of the four lanes at the corner of frankfurter allee and mollendorffstrasse in berlin - lichtenberg to call for climate protection.,Climate Change,0.986939013004303
115,5 members of last generation demonstrated and blocked traffic on the kaiserdamm in the direction of ernst-reuter-platz (westend district) in berlin - charlottenburg-wilmersdorf to call for climate protection.,Climate Change,0.9857394099235535
116,"Around 250 people demonstrated on rosa-luxemburg-platz in berlin - mitte against anti-semitism, islamism, and hamas.",Conflict,0.9063315391540527
117,"At the call of the thai association and spd, around 50 people demonstrated in berlin - charlottenburg-wilmersdorf for the preservation of the thai market in preussenpark.",Solidarity,0.7649572491645813
118,"During the afternoon, around 280 people, including some carrying dkp flags, gathered spontaneously at alexanderplatz in berlin - mitte for a pro-palestine demonstration and to call for peace in the middle east. they called for an end to what they claim to be a genocide. the police authorized the protest but limited it to 10 minutes. one placard also called for peace with russia amid the ukraine war.",Conflict,0.7324345707893372
119,"Around 11,000 (according to the police) people demonstrated from oranienplatz to puschkinallee in berlin - friedrichshain-kreuzberg under the motto 'global south united' to denounce israelis attacks in the gaza strip. around 5 people climbed onto the subway bridge between gorlitzer bahnhof and schlesisches tor and set off pyrotechnics. according to the director of the german journalists' union, a group of press photographers had been 'aggressively pushed away' by police officers at the beginning of the demonstration.",Conflict,0.5434117317199707
120,"At the call of last generation, between up to 600 (according to the police) and more than 1,000 (according to organizers), people, including members of extinction rebellion, scientist rebellion and bund, staged a protest at the 17. juni street at the victory column in berlin - mitte to call for an exit from fossil fuel, with some gluing themselves to the street and being physically removed by the police. between 60 and 154 members of last generation later gathered to block the street, gluing themselves to the road. police officers intervened physically to remove the demonstrators from the street.",Conflict,0.9083213806152344
121,"At the call of generation palestine, around 50 people gathered, despite the ban, at alexanderplatz in berlin - mitte for a pro-palestine protest and to denounce the situation of palestinian children in gaza.",Conflict,0.7551416754722595
