event_date;year;month;day;mood;district;source;category;label;title;description;crowd_size_class;crowd_size
2024-02-10 00:00:00;2024;February;10;Peaceful;Mitte;"Berliner Zeitung; Merkur";Human Rights;International;against Iranian Goverment;More than 600 people staged a protest in front of brandenburg gate in berlin - mitte (berlin), advocating against the iranian government, commemorating the 45th anniversary of the revolution, and advocating for a focused policy against the mullahs.;5;500-1000
2024-02-10 00:00:00;2024;February;10;Peaceful;Mitte;"Berliner Morgenpost; Jungle World";War / Peace;Against War;Stop War World Wide / Solidarity with Palastine;Around 2,500 people staged a protest with pro-palestinian banners and under the motto 'stop war worldwide' in berlin - mitte (berlin), primarily focused on advocating for peace in various regions, including the middle east. an anti-israeli protest group disrupted a performance at the berlin museum 'hamburger bahnhof', where an artist was reading hannah arendt's work for 100 consecutive hours.;7;2,500-5,000
2024-02-08 00:00:00;2024;February;8;Peaceful;Steglitz-Zehlendorf;"Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung";War / Peace;International;Solidarity with Palastine;Around 85 people staged a protest in front of the free university in berlin - steglitz-zehlendorf (berlin), in solidarity with palestine, expressing support for the palestinian cause amid ongoing tensions in the region and criticizing the perceived one-sided support for israel from university administrations and the suppression of criticism against the israeli government.;2;50-100
2024-02-08 00:00:00;2024;February;8;Peaceful;Steglitz-Zehlendorf;"Donau Kurier; Judische Allgemeine; Suddeutsche Zeitung";War / Peace;Against Racism;against Anti-Semitism;Around 20 people participated in a counter-protest in front of the free university in berlin - steglitz-zehlendorf (berlin), motivated by a recent assault of a jewish student and concerns about rising anti-semitic sentiments, aiming to show solidarity with jewish students and to condemn anti-semitic violence.;1;0-50
2024-02-03 00:00:00;2024;February;3;Peaceful;Mitte;Kieler Nachrichten;Human Rights;Against Racism;Hand in Hand / against AFD;Around 150,000 or 300,000 people (according to the organizers), including labor unionists, church groups, sports groups, left organizations and pro-palestine supporters, participated in a protest and a symbolic human chain around the bundestag in berlin - mitte (berlin) called for by the alliance 'hand in hand', consisting of more than 100 civil society organizations, sport clubs, social associations and refugee workers, against far-right extremism. the protest was organized following reports about a secret meeting between afd members and far-right activists in potsdam in november 2023, during which remigration plans were discussed.;11;0-500-50
2024-02-02 00:00:00;2024;February;2;Peaceful;Mitte;Die Tageszeitung;Human Rights;LGBTQ+;with a sauna and asweat-in defense of the rights of ttransgender people / Self-Determination Act;Around 30 activists protested in front of the bundestag in berlin - mitte (berlin) with a sauna and a sweat-in in defense of the rights of transgender people. the protest took place amid the drafting of the self-determination act, which was set to allow sauna operators to deny transgender women access to women's saunas at the time of reporting.;1;0-50
2024-01-27 00:00:00;2024;January;27;Violent;Mitte;Berliner Zeitung;War / Peace;Solidarity;Solidarity with Palastine;Around 2,500 people took part in a demonstration near neptunbrunnen in berlin - mitte (berlin) in solidarity with palestine.;7;2,500-5,000
2024-01-26 00:00:00;2024;January;26;Peaceful;Mitte;Berliner Zeitung;Environment;Agriculture;Farmers / Goverment;Around 300 farmers staged a protest with their tractors in front of the party headquarter berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;4;250-500
2024-01-24 00:00:00;2024;January;24;Peaceful;Mitte;"La Capital (Argentina); Rosario3";Human Rights;International;Argentinian Socialist Worker's Party / Goverment;More than 150 people, including members of the argentinian socialist workers' party, gathered in front of the argentine embassy in berlin - mitte (berlin) against the current argentinian administration and in support of the strike of the argentinian workers' federations against the government's economic measures. they also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.;3;100-250
2024-01-21 00:00:00;2024;January;21;Peaceful;Mitte;Bayerischer Rundfunk;Environment;Energy;Farmers / Goverment / energy turnaround /;Around 1,000 farmers and climate activists staged a protest near the brandenburg gate in berlin - mitte (berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.;6;1,000-2,500
2024-01-21 00:00:00;2024;January;21;Peaceful;Mitte;Dresdner Neueste Nachrichten;Human Rights;Against Racism;against AFD;Around 100,000 people staged a protest in berlin - mitte (berlin), advocating against the afd. the protest was prompted by concerns over a secret meeting between afd representatives, discussing mass deportations of individuals with german citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;10;0-500
2024-01-20 00:00:00;2024;January;20;Peaceful;Mitte;Berliner Morgenpost;Environment;Agriculture;Farmers / Goverment;Around 8,000 farmers staged a protest near the chancellery in berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;8;5,000-10,000
2024-01-20 00:00:00;2024;January;20;Peaceful;Neukolln;Merkur;War / Peace;Solidarity;Solidarity with Palastine;Around 1,000 people staged a pro-palestine protest in berlin - neukolln (berlin), aiming to express solidarity with palestine.;6;1,000-2,500
2024-01-19 00:00:00;2024;January;19;Peaceful;Mitte;"Berliner Zeitung; Merkur";Environment;Agriculture;Farmers / Goverment;Around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the berlin victory column in berlin - mitte (berlin), advocating against the policies of the german federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;6;1,000-2,500
2024-01-18 00:00:00;2024;January;18;Peaceful;Mitte;Morgen Post;Environment;Agriculture;Farmers / Goverment;Around 350 farmers staged a protest in front of the brandenburg gate in berlin - mitte (berlin). the event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.;4;250-500
2024-01-18 00:00:00;2024;January;18;Peaceful;Mitte;Der Tagesspiegel;Economy;Labor Rights ;healthcare workers;Around 100 healthcare workers from the jewish hospital in berlin staged a protest outside the berlin parliament in berlin - mitte (berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.;3;100-250
2024-01-17 00:00:00;2024;January;17;Peaceful;Mitte;Der Tagesspiegel;Human Rights;Against Racism;against AFD;Up to 3,500 people staged a protest in front of the red city hall in berlin - mitte (berlin), advocating against the alternative for germany (afd). the protest was prompted by concerns over a secret meeting of afd representatives and far-right activists, to discuss mass deportations of individuals with german citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;7;2,500-5,000
2024-01-16 00:00:00;2024;January;16;Peaceful;Mitte;Berliner Zeitung;Environment;Agriculture;Free Farmers / Agriculture;Several hundred people with about 330 vehicles held a vigil in front of brandenburger tor in berlin - mitte (berlin) throughout the day called for by the association 'free farmers' (freie bauern). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;4;250-500
2024-01-14 00:00:00;2024;January;14;Peaceful;Mitte;WDR;War / Peace;International;Solidarity with Israel;600 people participated in a protest in berlin - mitte (berlin) called for by dig and the israeli embassy to commemorate the israeli hostages held by hamas.;5;500-1000
2024-01-14 00:00:00;2024;January;14;Peaceful;Mitte;Berliner Morgenpost;Human Rights;Against Racism;Fridays for Future / Grannies against Right / against AFD;25,000 people, including human rights activists, left party federal chair janine wissler, participated in a protest in berlin - mitte (berlin) called for by 'joint general association' (paritatischer gesamtverband), fridays for future, and numerous other organizations, and supported by jusos, gj, grannies against the right, extinction rebellion and the association 'hawwar help' (an association that stands up for a self-determined life in safety for everyone) under the motto 'defend democracy, stick together' against the shift to the right in germany and the afd. the protest occurred in the context of recent reports of a secret meeting between afd members and right-wing extremists in potsdam past november.;9;10,000-50,000
2024-01-12 00:00:00;2024;January;12;Peaceful;Tempelhof-Schoneberg;Der Tagesspiegel;Environment;Agriculture;Farmers / Goverment;Farmers gathered with their vehicles, blocking a highway between the teltow/ber exit and nahmitzer damm in berlin - tempelhof-schoneberg (berlin). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;3;100-250
2024-01-12 00:00:00;2024;January;12;Peaceful;Mitte;Der Tagesspiegel;War / Peace;International;Solidarity with Palastine;Several hundred protesters gathered at the central station in berlin - mitte, demanding an urgent ceasefire in gaza. the protesters shouted pro-palestinian chants.;4;250-500
2024-01-12 00:00:00;2024;January;12;Peaceful;Mitte;Der Tagesspiegel;Human Rights;Against Racism;Fridays for Future / Grannies against Right / against AFD;350 people, including fff and the greens representatives, protested against fascism, racism, and social exclusion in berlin - mitte, voicing their dissatisfaction with the plan proposed by the right-wing forces in the country, which implies expelling the population with migrant backgrounds. the protesters also called for banning the afd political party.;4;250-500
2024-01-10 00:00:00;2024;January;10;Peaceful;Mitte;Berliner Morgenpost;Environment;Agriculture;Farmers / Goverment;Overnight, 25 people with 24 tractors, 14 trucks and 4 cars, staged a vigil in front of brandenburger tor in berlin - mitte (berlin). the event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;1;0-50
2024-01-10 00:00:00;2024;January;10;with Intervention;Tempelhof-Schoneberg;Berliner Zeitung;Environment;Climate Change;Last Generation;16 last generation activists protested at innsbrucker platz in berlin - tempelhof-schoneberg (berlin) to raise awareness about the climate crisis and to denounce 'double standards' in the coverage of their protests and their climate demands, and those of the farmers, many of whom were protesting against planned cuts to agricultural subsidies at the time of reporting. the police intervened and carried the protesters off the street.;1;0-50
2024-01-07 00:00:00;2024;January;7;Peaceful;Mitte;Berliner Morgenpost;Environment;Agriculture;Farmers / Goverment;Around 48 farmers staged a protest with their tractors along the 17 of june street in berlin - mitte (berlin), as part of a nationwide farmers' demonstration movement against the german government's agricultural policies, protesting against the planned budget cuts concerning agrardiesel and vehicle tax exemptions.;1;0-50
2024-01-07 00:00:00;2024;January;7;Peaceful;Mitte;Mitteldeutschen Zeitung;Environment;Climate Change;Last Generation / floods know no monument protection;"Around a dozen last generation activists staged a protest in front of the brandenburg gate in berlin - mitte (berlin), referencing ongoing heavy rainfall in germany with slogans like 'climate protection is the best monument protection' and 'floods know no monument protection'; the activists also stacked sandbags in front of the brandenburg gate.";1;0-50
2024-01-07 00:00:00;2024;January;7;Peaceful;Charlottenburg-Wilmersdorf;Die Tageszeitung;War / Peace;International;Solidarity with Israel / against every anti-semitism and islamism, antifa means solidarity with israel;Around 100 individuals staged a protest in front of the university of arts in berlin - charlottenburg-wilmersdorf (berlin) with the motto 'against every anti-semitism and islamism. antifa means solidarity with israel', demanding the immediate release of all hostages in the israel-hamas war and expressing support for israel.;3;100-250
2024-01-07 00:00:00;2024;January;7;Peaceful;Neukolln;Die Tageszeitung;War / Peace;International;Palastine will be Free / Solidarity with Palastine;Approximately 700 individuals staged a protest in berlin - neukolln (berlin), taking part in a car procession consisting of around 230 cars, protesting against the israeli military campaign in gaza and expressing solidarity with palestine under the slogan 'palestine will be free.';5;500-1000
2023-12-31 00:00:00;2023;December;31;Peaceful;Mitte;Indymedia (Germany);Human Rights;Solidarity for Prisoners;Abolution;About 300 people participated in a protest in front of the prison in moabit in berlin - mitte (berlin) in solidarity with the prisoners, for the abolishment of prisons and against the repressions of defendants.;4;250-500
2023-12-31 00:00:00;2023;December;31;Peaceful;Neukolln;Oe24.At;War / Peace;International;No New Years Eve - Solidarity with Palastine / Solidarity with Palastine;About 2,000 people participated in a pro-palestine protest in berlin - neukolln (berlin) under the motto 'no new year's eve - solidarity with palestine'.;6;1,000-2,500
2023-12-31 00:00:00;2023;December;31;Peaceful;Reinickendorf;Indymedia (Germany);Human Rights;Solidarity for Prisoners;Abolution;About 60 people participated in a protest in front of the prison in tegel in berlin - reinickendorf (berlin) in solidarity with the prisoners and for the abolishment of prisons as well as against the repressions of defendants.;2;50-100
2023-12-30 00:00:00;2023;December;30;Peaceful;Charlottenburg-Wilmersdorf;Merkur;War / Peace;International;Solidarity with Palastine;About 500 people participated in a pro-palestine protest in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'solidarity with palestine'.;5;500-1000
2023-12-29 00:00:00;2023;December;29;Peaceful;Mitte;Indymedia (Germany);War / Peace;International;Solidarity with Palastine / Israelis für den frieden;Up to 100 people, including israeli immigrants, participated in a protest in berlin - mitte (berlin) close to the foreign ministry called for by the newly found network 'israelis fur den frieden' (israelis for peace) against the war in gaza and what they claim to be a genocide, as well as for an immediate ceasefire, for a diplomatic solution and for the exchange of all hostages. the participants were also against german arms deliveries to israel, against netanyahu's right-wing government and the illegal occupation and settlement policy.;3;100-250
2023-12-23 00:00:00;2023;December;23;Peaceful;Friedrichshain-Kreuzberg;Der Tagesspiegel;War / Peace;International;Solidarity with Palastine;Around 2,000 people protested in berlin - friedrichshain-kreuzberg (berlin), demonstrating solidarity with palestine, condemning the bombing of gaza, and advocating for an end to the conflict in the middle east, marching from hallesches tor in kreuzberg to the brandenburg gate.;6;1,000-2,500
2023-12-20 00:00:00;2023;December;20;Peaceful;Charlottenburg-Wilmersdorf;"Berliner Morgenpost; Berliner Zeitung; Mitteldeutschen Zeitung; Rheinische Post";War / Peace;International;Solidarity with Palastine;Around 100 individuals, including palestinian, jewish, and allied students, staged a protest at the university of the arts in berlin - charlottenburg-wilmersdorf (berlin), criticizing the universities' handling of the gaza conflict, demanding solidarity and advocating for palestinian rights while condemning what they perceive as biased narratives and censorship by universities regarding the conflict in the gaza strip.;3;100-250
2023-12-20 00:00:00;2023;December;20;Peaceful;Tempelhof-Schoneberg;Die Tageszeitung;Local;Housing;rent increase / tenants;Tenants' representatives from berlin's municipal housing companies staged a protest in berlin in bulowstreet-ost (berlin - tempelhof-schoneberg, berlin), protesting against rent increases following the termination of social commitments, emphasizing the impact on tenants due to heightened rents.;3;100-250
2023-12-19 00:00:00;2023;December;19;Peaceful;Mitte;Berliner Zeitung;War / Peace;International;Solidarity with Palastine;About 300 activists gathered for a pro-palestine rally at the main train station in berlin - mitte (berlin), condemning the israeli occupation.;4;250-500
2023-12-18 00:00:00;2023;December;18;Peaceful;Mitte;Norddeutscher Rundfunk;Environment;Agriculture;Farmers / Goverment;8-10 thousand farmers gathered for a rally in berlin - mitte (berlin), protesting against the proposed reduction of tax bonuses for agricultural fuel. associations of farmers organized gatherings and rides also at numerous other locations across the country.;8;5,000-10,000
2023-12-17 00:00:00;2023;December;17;Peaceful;Neukolln;Der Tagesspiegel;War / Peace;International;Solidarity with Palastine;About 750 activists in 500 cars demonstratively rode through berlin - neukolln (berlin), demanding freedom for palestine.;5;500-1000
2023-12-16 00:00:00;2023;December;16;Peaceful;Mitte;Berliner Zeitung;Environment;Climate Change;Climate action;Activists gathered for a rally in berlin - mitte (berlin), demanding immediate climate action.;3;100-250
2023-12-15 00:00:00;2023;December;15;Peaceful;Neukolln;Die Tageszeitung;Local;Education;more teachers;About 50 parents and students gathered near their school in berlin - neukolln (berlin), demanding better conditions for studies and learning, especially more teachers.;2;50-100
2023-12-15 00:00:00;2023;December;15;Peaceful;Charlottenburg-Wilmersdorf;Berliner Zeitung;War / Peace;International;Solidarity with Palastine;About 300 activists gathered for a pro-palestine march from wittenberg square to olivaer square in berlin - charlottenburg-wilmersdorf (berlin), decrying the violence perpetrated by israel on palestinian civilians.;4;250-500
2023-12-15 00:00:00;2023;December;15;Peaceful;Berlin;Indymedia (Germany);Human Rights;Against Racism;anti-facist demanding release of one of theirs;Leftist and anti-fascist activists gathered for a rally at an unspecified location in berlin (berlin), demanding immediate release of one of their fellows, currently facing trial in detention for their political activities.;3;100-250
2023-12-15 00:00:00;2023;December;15;Peaceful;Steglitz-Zehlendorf;Rbb24;War / Peace;International;Fridays for Israel / Solidarity with Israel;Several dozen activists, mostly students, gathered with pickets for a silent rally near the free university in berlin - steglitz-zehlendorf (berlin), declaring their support for israel amid the israel-hamas war. the event was organized by the movement 'fridays for israel'.;1;0-50
2023-12-14 00:00:00;2023;December;14;with Intervention;Steglitz-Zehlendorf;Der Tagesspiegel;War / Peace;Against War;Students for Free Palastine / Solidarity with Palastine;Between 50 and 60 students and activists from 'students for free palestine' occupied a lecture hall at free university in berlin - steglitz-zehlendorf (berlin) and prevented jewish students from entering. police officers were present and verified the protesters' identities. during the occupation, there were also physical confrontations between pro-palestinian activists and university students who tried to stop the occupation by tearing down flyers and posters. a police spokesman said several reports of assault had been made. two demonstrators were slightly injured and complained of pain.;2;50-100
2023-12-10 00:00:00;2023;December;10;Peaceful;Mitte;"Berliner Morgenpost; Der Tagesspiegel";War / Peace;Solidarity;Solidarity with Palastine;Around 2,500 people demonstrated along friedrichstrasse in berlin - mitte (berlin) in solidarity with palestine and to call for an end to arms deliveries to israel, accusing the country of engaging in a 'genocide'. members of bds were present to call for the boycott of the state of israel and israeli products because of its actions against palestinians.;7;2,500-5,000
2023-12-10 00:00:00;2023;December;10;Peaceful;Mitte;"Berliner Zeitung; Der Tagesspiegel";War / Peace;International;Never again is now, Germany stands up / Solidarity with Israel;Between 3,000 (according to the police) and 11,000 (according to organizers) people, including the mayor of berlin (cdu), federal labor minister (spd), officials of the greens, the bundestag president (spd), and a rabbi, demonstrated from victory column to the brandenburg gate in berlin - mitte (berlin) against anti-semitism, hatred, racism, and xenophobia. protesters called for solidarity and respectful coexistence, as well as a de-correlation between anti-semitism and anti-israel sentiments amid the 2023 israel-hamas war. they gathered under the motto 'never again is now, germany stands up'.;8;5,000-10,000
2023-12-09 00:00:00;2023;December;9;with Intervention;Friedrichshain-Kreuzberg;"Berliner Morgenpost; Mitteldeutschen Zeitung";Environment;Climate Change;Last Generation / Transport;At the call of xr, last generation, and scientist rebellion, between 150 (according to the police) and 400 (according to organizers) people blocked traffic on the elsenbrucke (elsen bridge) in berlin - friedrichshain-kreuzberg (berlin) against the fossil fuel industry and the expansion of the city highway a100. police officers intervened to remove some activists who had glued themselves to the road.;4;250-500
2023-12-09 00:00:00;2023;December;9;Peaceful;Treptow-Kopenick;Hannoversche Allgemeine;Economy;Finance;football club / against investor;Borussia monchengladbach football club supporters staged a protest by displaying placards and banners inside union berlin football club's stadium an der alten forsterei in berlin - treptow-kopenick (berlin) against an investor of the german football league (dfl).;3;100-250
2023-12-08 00:00:00;2023;December;8;Peaceful;Charlottenburg-Wilmersdorf;Berliner Zeitung;War / Peace;International;Free Gaza from Hamas / Solidarity with Isreal / Fridays for Israel;At the call of ffi (fridays for israel), around 80 people, including members of ju, cdu, an mp (the greens), dig, the jewish community, and students, gathered at the udk - universitat der kunste (university of the arts) on hardenbergstrasse in berlin - charlottenburg-wilmersdorf (berlin) in support of israel and against anti-semitism at universities. protesters chanted 'free gaza from hamas.';2;50-100
2023-12-06 00:00:00;2023;December;6;Peaceful;Reinickendorf;Berliner Morgenpost;Human Rights;Against Racism;Grannies Against the Right / Goverment / against AFD;Almost 50 people, including members of grannies against the right, the left, spd, the greens, and dgb, demonstrated in front of the maestral restaurant opposite the reinickendorf town hall in berlin - reinickendorf (berlin) against the far-right political party afd, which they denounced as 'a fascist, racist, xenophobic and anti-constitutional party whose aim is to destabilize the basic democratic order and divide society.';2;50-100
2023-12-06 00:00:00;2023;December;6;Peaceful;Charlottenburg-Wilmersdorf;"Berliner Morgenpost; Der Tagesspiegel";Economy;Labor Rights ;Ver.di / GEW / striking employees;In the morning, at the call of ver.di, gew, and the police union gdp - gewerkschaft der polizei, around 13,000 striking employees gathered at ernst-reuter square and marched toward kurfurstendamm in berlin - charlottenburg-wilmersdorf (berlin) to protest for better pay. they had gathered while a conference of german labor and social ministers was taking place in the city.;9;10,000-50,000
2023-12-05 00:00:00;2023;December;5;Peaceful;Berlin;Presseportal;Human Rights;International;Action Against Hunger / Neste: Stop your advertising for Baby Milk;People, including members of the humanitarian and development organization 'action against hunger', with the support of weact (campact's petition platform), protested in berlin (berlin) and handed over a petition signed by 77,000 people as part of the campaign 'nestle: stop your advertising for baby milk' to call on nestle to adhere to the guidelines of the who and stop advertising for powdered baby milk.;3;100-250
2023-12-05 00:00:00;2023;December;5;Peaceful;Pankow;Berliner Zeitung;Environment;Climate Change;Last Generation;Last generation activists protested at schonhauser allee, standing in front of the schonhauser arcaden, in berlin - pankow (berlin), demanding more climate action.;3;100-250
2023-12-03 00:00:00;2023;December;3;Peaceful;Berlin;Berliner Zeitung;Environment;Animal Rights;Climate Change Conference / Extinction Rebellion;Xr activists protested in berlin (berlin), demonstrating in several subways dressed as flight attendants, against the united nations climate change conference (cop28) simultaneously taking place in dubai, which they consider a greenwashing event by politicians and lobbyists.;3;100-250
2023-12-02 00:00:00;2023;December;2;Peaceful;Mitte;Der Tagesspiegel;War / Peace;International;Solidarity with Israel;People participated in a vigil on brunnenstrasse in berlin - mitte (berlin) to condemn anti-semitism amid the 2023 israel-hamas war.;3;100-250
2023-12-02 00:00:00;2023;December;2;with Intervention;Mitte;Der Tagesspiegel;War / Peace;Against War;Stop the Genocide in Gaza / Solidarity with Palastine;About 2,000 people participated in a pro-palestine protest in berlin - mitte (berlin) under the motto 'stop the genocide in gaza'. the police arrested some of the participants.;6;1,000-2,500
2023-12-02 00:00:00;2023;December;2;Peaceful;Tempelhof-Schoneberg;Berliner Morgenpost;Local;Housing;unacceptable living conditions;About 80 tenants of 'deutsche wohnen' in britzer strasse protested in mariendorf in berlin - tempelhof-schoneberg (berlin) against what they called 'unacceptable' living conditions.;2;50-100
2023-12-02 00:00:00;2023;December;2;Peaceful;Friedrichshain-Kreuzberg;Der Tagesspiegel;War / Peace;International;Solidarity with Palastine;Around 430 people participated in a pro-palestine protest in berlin - friedrichshain-kreuzberg (berlin) under the motto 'solidarity with palestine' amid the 2023 israel-hamas war.;4;250-500
2023-12-01 00:00:00;2023;December;1;with Intervention;Friedrichshain-Kreuzberg;Berliner Zeitung;Environment;Agriculture;Last Generation /;6 last generation activists, including some working in craft-related professions, protested in berlin - friedrichshain-kreuzberg (berlin) by gluing themselves onto and blocking blucherstrasse close to the chamber of crafts to raise awareness about the consequences of the climate crisis on trade, industry and agriculture. the police intervened to detach and remove the activists from the road.;1;0-50
2023-12-01 00:00:00;2023;December;1;Peaceful;Mitte;Der Tagesspiegel;Environment;Climate Change;Scientist Rebellion;Scientist rebellion activists protested in berlin - mitte (berlin) for an end to climate-damaging subsidies and the fossil-fuel era, and called on the german government to implement concrete actions to tackle climate change. they had gathered on the occasion of the un climate change conference cop28, which was simultaneously taking place in dubai.;3;100-250
2023-11-30 00:00:00;2023;November;30;Peaceful;Mitte;Berliner Zeitung;Economy;Labor Rights ;Ver.di / increase workload;About 70 people participated in a protest in berlin - mitte (berlin) called for by ver.di to raise awareness for staff shortage and the increased workload in daycare centers.;2;50-100
2023-11-29 00:00:00;2023;November;29;Peaceful;Friedrichshain-Kreuzberg;Berliner Zeitung;War / Peace;International;Solidarity with Palastine;People participated in a protest under the motto 'solidarity for palestine' in berlin - friedrichshain-kreuzberg (berlin).;3;100-250
2023-11-29 00:00:00;2023;November;29;Peaceful;Mitte;Berliner Zeitung;War / Peace;International;Freedom and Peace for Palastine / Solidarity with Palastine;People participated in a protest under the motto 'freedom and peace for palestine' at mathilde-jacob-platz in berlin - mitte (berlin).;3;100-250
2023-11-29 00:00:00;2023;November;29;Peaceful;Charlottenburg-Wilmersdorf;Die Tageszeitung;War / Peace;International;Strike for Palastine / Solidarity with Palastine;About 2 dozen students participated in a protest at universitat der kunste in berlin - charlottenburg-wilmersdorf (berlin) under the motto 'strike for palestine' in solidarity with palestine.;1;0-50
2023-11-29 00:00:00;2023;November;29;Peaceful;Friedrichshain-Kreuzberg;Indymedia (Germany);War / Peace;International;Against the Berlin Security Conference and All Wars;About 200 people participated in an antimilitarist and anticapitalist protest in berlin - friedrichshain-kreuzberg (berlin) against the berlin security conference and all wars.;3;100-250
2023-11-27 00:00:00;2023;November;27;Peaceful;Mitte;Westdeutsche Allgemeine Zeitung;Economy;Finance;Greenpeace / car industry;Greenpeace activists gathered in berlin - mitte for a rally, protesting against the ongoing summit of car industry stakeholders and companies taking place in the official residence of the chancellor and calling for more efforts for climate-friendly policies.;3;100-250
2023-11-27 00:00:00;2023;November;27;Peaceful;Berlin;Suddeutsche Zeitung;Economy;Labor Rights ;GEW / higher wages;Teachers and other employees in the educational sector affiliated with gew union gathered in berlin, demanding higher wages and other social benefits.;3;100-250
