event_date;year;month;day;weekday;mood;district;source;category;class;title;predicted label;score;score;grund truth;description;notes;crowd_size_class;crowd_size;with_vehicles
2024-01-24 00:00:00;2024;1;24;Wed;Peaceful protest;Berlin - Mitte;"La Capital (Argentina); Rosario3";Human Rights;International;Argentinian Socialist Worker's Party / Goverment;Conflict;;;;more than 150 people, including members of the Argentinian Socialist Workers' Party, gathered in front of the Argentine Embassy in Berlin - Mitte (Berlin) against the current Argentinian administration and in support of the strike of the Argentinian workers' federations against the government's economic measures. They also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.;On 24 January 2024, more than 150 people, including members of the Argentinian Socialist Workers' Party, gathered in front of the Argentine Embassy in Berlin - Mitte (Berlin) against the current Argentinian administration and in support of the strike of the Argentinian workers' federations against the government's economic measures. They also opposed new regulations criminalizing social protest and limiting freedom of expression, which they considered a danger to democracy, as well as the so-called omnibus law.;3;150;
2024-01-21 00:00:00;2024;1;21;Sun;Peaceful protest;Berlin - Mitte;Bayerischer Rundfunk;Environment;Agriculture; Farmers / Goverment / energy turnaround /;Climate;;;;around 1,000 farmers and climate activists staged a protest near the Brandenburg Gate in Berlin - Mitte (Berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.;On 21 January 2024, around 1,000 farmers and climate activists staged a protest near the Brandenburg Gate in Berlin - Mitte (Berlin), advocating for an immediate energy turnaround and expressing dissatisfaction with current conditions.;6;1.000;
2024-01-21 00:00:00;2024;1;21;Sun;Peaceful protest;Berlin - Mitte;Dresdner Neueste Nachrichten;Human Rights;Against Racism;against AFD ;Far-right;;;;around 100,000 people staged a protest in Berlin - Mitte (Berlin), advocating against the AfD. The protest was prompted by concerns over a secret meeting between AfD representatives, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;On 21 January 2024, around 100,000 people staged a protest in Berlin - Mitte (Berlin), advocating against the AfD. The protest was prompted by concerns over a secret meeting between AfD representatives, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;10;100.000;
2024-01-20 00:00:00;2024;1;20;Sat;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;around 8,000 farmers staged a protest near the chancellery in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;On 20 January 2024, around 8,000 farmers staged a protest near the chancellery in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;8;8.000;
2024-01-20 00:00:00;2024;1;20;Sat;Peaceful protest;Berlin - Neukolln;Merkur;War / Peace;International; Solidarity with Palastine;Solidarity;;;;around 1,000 people staged a pro-Palestine protest in Berlin - Neukolln (Berlin), aiming to express solidarity with Palestine.;On 20 January 2024, around 1,000 people staged a pro-Palestine protest in Berlin - Neukolln (Berlin), aiming to express solidarity with Palestine.;6;1.000;
2024-01-19 00:00:00;2024;1;19;Fri;Peaceful protest;Berlin - Mitte;"Berliner Zeitung; Merkur";Environment;Agriculture; Farmers / Goverment ;Transport;;;;around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the Berlin Victory Column in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;On 19 January 2024, around 1,250 truck drivers, freight contractors, craftsmen, and farmers staged a protest near the Berlin Victory Column in Berlin - Mitte (Berlin), advocating against the policies of the German federal government, expressing grievances related to their livelihoods and dissatisfaction with current conditions.;6;1.250;tractors
2024-01-18 00:00:00;2024;1;18;Thu;Peaceful protest;Berlin - Mitte;Morgen Post;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;around 350 farmers staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin). The event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.;On 18 January 2024, around 350 farmers staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin). The event was part of a nationwide demonstration movement called by farmers to denounce the government's plan to cut agricultural sector subsidies.;4;350;
2024-01-18 00:00:00;2024;1;18;Thu;Peaceful protest;Berlin - Mitte;Der Tagesspiegel;Economy;Labor Rights ;healthcare  workers;Conflict;;;;around 100 healthcare workers from the Jewish Hospital in Berlin staged a protest outside the Berlin Parliament in Berlin - Mitte (Berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.;On 18 January 2024, around 100 healthcare workers from the Jewish Hospital in Berlin staged a protest outside the Berlin Parliament in Berlin - Mitte (Berlin), demanding a collective bargaining agreement that includes provisions for relief shifts or measures to address workload and stress issues.;3;100;
2024-01-17 00:00:00;2024;1;17;Wed;Peaceful protest;Berlin - Mitte;Der Tagesspiegel;Human Rights;Against Racism;against AFD;Conflict;;;;up to 3,500 people staged a protest in front of the Red City Hall in Berlin - Mitte (Berlin), advocating against the Alternative for Germany (AfD). The protest was prompted by concerns over a secret meeting of AfD representatives and far-right activists, to discuss mass deportations of individuals with German citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;On 17 January 2024, up to 3,500 people staged a protest in front of the Red City Hall in Berlin - Mitte (Berlin), advocating against the Alternative for Germany (AfD). The protest was prompted by concerns over a secret meeting of AfD representatives and far-right activists, to discuss mass deportations of individuals with German citizenship and a migrant background, leading to a heightened awareness and mobilization against right-wing ideologies in various cities.;7;3.500;
2024-01-16 00:00:00;2024;1;16;Tue;Peaceful protest;Berlin - Mitte;Berliner Zeitung;Environment;Agriculture;Free Farmers / Agriculture;Agriculture;;;;several hundred people with about 330 vehicles held a vigil in front of Brandenburger Tor in Berlin - Mitte (Berlin) throughout the day called for by the association 'Free Farmers' (Freie Bauern). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;On 16 January 2024, several hundred people with about 330 vehicles held a vigil in front of Brandenburger Tor in Berlin - Mitte (Berlin) throughout the day called for by the association 'Free Farmers' (Freie Bauern). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;4;400;
2024-01-15 00:00:00;2024;1;15;Mon;Violent demonstration;Berlin - Mitte;"Bayerischer Rundfunk; Berliner Morgenpost; Krone; Ostsee Zeitung";ProRightWing;Agriculture; Farmers / Goverment / with AFD;Unlabelled;;;;8,500 people, including several members of AfD, including federal spokesperson Alice Weidel (AfD), and FPOE, and around 6,000 vehicles gathered in front of Brandenburger Tor in Berlin - Mitte (Berlin), some reaching it as convoys from across the whole country since the weekend, to demonstrate. Among others, Federal Minister of Finance Christian Lindner (FDP) and spokesman of the Board of the Federal Association of Road Haulage, Logistics and Disposal (BGL) Dirk Engelhardt, spoke during the rally. The event was the highlight of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts. In relation to the demonstration more than 10 arrests and 14 proceedings for assault, property damage and violation of the Explosives Act, were charged.;On 15 January 2024, 8,500 people, including several members of AfD, including federal spokesperson Alice Weidel (AfD), and FPOE, and around 6,000 vehicles gathered in front of Brandenburger Tor in Berlin - Mitte (Berlin), some reaching it as convoys from across the whole country since the weekend, to demonstrate. Among others, Federal Minister of Finance Christian Lindner (FDP) and spokesman of the Board of the Federal Association of Road Haulage, Logistics and Disposal (BGL) Dirk Engelhardt, spoke during the rally. The event was the highlight of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts. In relation to the demonstration more than 10 arrests and 14 proceedings for assault, property damage and violation of the Explosives Act, were charged.;8;8.500;vehicles
2024-01-14 00:00:00;2024;1;14;Sun;Peaceful protest;Berlin - Mitte;WDR;War / Peace;International; Solidarity with Israel;Conflict;;;;600 people participated in a protest in Berlin - Mitte (Berlin) called for by DIG and the Israeli embassy to commemorate the Israeli hostages held by Hamas.;On 14 January 2024, 600 people participated in a protest in Berlin - Mitte (Berlin) called for by DIG and the Israeli embassy to commemorate the Israeli hostages held by Hamas.;5;600;
2024-01-14 00:00:00;2024;1;14;Sun;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Human Rights;Against Racism;Fridays for Future / Grannies against Right / against AFD;Conflict;;;;25,000 people, including human rights activists, Left Party Federal Chair Janine Wissler, participated in a protest in Berlin - Mitte (Berlin) called for by 'Joint General Association' (Paritatischer Gesamtverband), Fridays for Future, and numerous other organizations, and supported by Jusos, GJ, Grannies Against the Right, Extinction Rebellion and the association 'Hawwar help' (an association that stands up for a self-determined life in safety for everyone) under the motto 'Defend democracy, stick together' against the shift to the right in Germany and the AfD. The protest occurred in the context of recent reports of a secret meeting between AfD members and right-wing extremists in Potsdam past November.;On 14 January 2024, 25,000 people, including human rights activists, Left Party Federal Chair Janine Wissler, participated in a protest in Berlin - Mitte (Berlin) called for by 'Joint General Association' (Paritatischer Gesamtverband), Fridays for Future, and numerous other organizations, and supported by Jusos, GJ, Grannies Against the Right, Extinction Rebellion and the association 'Hawwar help' (an association that stands up for a self-determined life in safety for everyone) under the motto 'Defend democracy, stick together' against the shift to the right in Germany and the AfD. The protest occurred in the context of recent reports of a secret meeting between AfD members and right-wing extremists in Potsdam past November.;9;25.000;
2024-01-12 00:00:00;2024;1;12;Fri;Peaceful protest;Berlin - Tempelhof-Schoneberg;Der Tagesspiegel;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;farmers gathered with their vehicles, blocking a highway between the Teltow/BER exit and Nahmitzer Damm in Berlin - Tempelhof-Schoneberg (Berlin). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;On 12 January 2024, farmers gathered with their vehicles, blocking a highway between the Teltow/BER exit and Nahmitzer Damm in Berlin - Tempelhof-Schoneberg (Berlin). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;3;200;
2024-01-12 00:00:00;2024;1;12;Fri;Peaceful protest;Berlin - Mitte;Der Tagesspiegel;War / Peace;International; Solidarity with Palastine;Conflict;;;;several hundred protesters gathered at the Central Station in Berlin - Mitte, demanding an urgent ceasefire in Gaza. The protesters shouted pro-Palestinian chants.;On 12 January 2024, several hundred protesters gathered at the Central Station in Berlin - Mitte, demanding an urgent ceasefire in Gaza. The protesters shouted pro-Palestinian chants.;4;400;
2024-01-12 00:00:00;2024;1;12;Fri;Peaceful protest;Berlin - Mitte;Der Tagesspiegel;Human Rights;Against Racism;Fridays for Future / Grannies against Right / against AFD;Against Racism;;;;350 people, including FFF and The Greens representatives, protested against fascism, racism, and social exclusion in Berlin - Mitte, voicing their dissatisfaction with the plan proposed by the right-wing forces in the country, which implies expelling the population with migrant backgrounds. The protesters also called for banning the AFD political party.;On 12 January 2024, 350 people, including FFF and The Greens representatives, protested against fascism, racism, and social exclusion in Berlin - Mitte, voicing their dissatisfaction with the plan proposed by the right-wing forces in the country, which implies expelling the population with migrant backgrounds. The protesters also called for banning the AFD political party.;4;350;
2024-01-10 00:00:00;2024;1;10;Wed;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;overnight, 25 people with 24 tractors, 14 trucks and 4 cars, staged a vigil in front of Brandenburger Tor in Berlin - Mitte (Berlin). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;On 10 January 2024, overnight, 25 people with 24 tractors, 14 trucks and 4 cars, staged a vigil in front of Brandenburger Tor in Berlin - Mitte (Berlin). The event was part of a nationwide farmers' demonstration movement against planned agricultural subsidy cuts.;1;25;tractors, trucks, cars
2024-01-10 00:00:00;2024;1;10;Wed;Protest with intervention;Berlin - Tempelhof-Schoneberg;Berliner Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;16 Last Generation activists protested at Innsbrucker Platz in Berlin - Tempelhof-Schoneberg (Berlin) to raise awareness about the climate crisis and to denounce 'double standards' in the coverage of their protests and their climate demands, and those of the farmers, many of whom were protesting against planned cuts to agricultural subsidies at the time of reporting. The police intervened and carried the protesters off the street.;On 10 January 2024, 16 Last Generation activists protested at Innsbrucker Platz in Berlin - Tempelhof-Schoneberg (Berlin) to raise awareness about the climate crisis and to denounce 'double standards' in the coverage of their protests and their climate demands, and those of the farmers, many of whom were protesting against planned cuts to agricultural subsidies at the time of reporting. The police intervened and carried the protesters off the street.;1;16;
2024-01-08 00:00:00;2024;1;8;Mon;Peaceful protest;Berlin - Mitte;Abendzeitung Munchen;ProRightWing;Agriculture; Farmers / Goverment / the democrats bring the death of the people ;Unlabelled;;;;approximately 550 farmers, including numerous tractors, staged a protest at the Brandenburg Gate in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, notably its plans to introduce budget cuts to Agrardiesel and remove vehicle tax exemptions. Far-right and Querdenken activists joined the protest, with some showing handwritten banners reading 'The Democrats bring the death of the people'.;On 8 January 2024, approximately 550 farmers, including numerous tractors, staged a protest at the Brandenburg Gate in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, notably its plans to introduce budget cuts to Agrardiesel and remove vehicle tax exemptions. Far-right and Querdenken activists joined the protest, with some showing handwritten banners reading 'The Democrats bring the death of the people'.;5;550;tractors
2024-01-07 00:00:00;2024;1;7;Sun;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Environment;Agriculture; Farmers / Goverment ;Agriculture;;;;around 48 farmers staged a protest with their tractors along the 17 of June Street in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, protesting against the planned budget cuts concerning Agrardiesel and vehicle tax exemptions.;On 7 January 2024, around 48 farmers staged a protest with their tractors along the 17 of June Street in Berlin - Mitte (Berlin), as part of a nationwide farmers' demonstration movement against the German government's agricultural policies, protesting against the planned budget cuts concerning Agrardiesel and vehicle tax exemptions.;1;48;tractors
2024-01-07 00:00:00;2024;1;7;Sun;Peaceful protest;Berlin - Mitte;Mitteldeutschen Zeitung;Environment;Anthropocene;Last Generation / floods know no monument protection;Climate;;;;"around a dozen Last Generation activists staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin), referencing ongoing heavy rainfall in Germany with slogans like 'Climate protection is the best monument protection' and 'Floods know no monument protection'; the activists also stacked sandbags in front of the Brandenburg Gate.";"On 7 January 2024, around a dozen Last Generation activists staged a protest in front of the Brandenburg Gate in Berlin - Mitte (Berlin), referencing ongoing heavy rainfall in Germany with slogans like 'Climate protection is the best monument protection' and 'Floods know no monument protection'; the activists also stacked sandbags in front of the Brandenburg Gate.";1;12;
2024-01-07 00:00:00;2024;1;7;Sun;Peaceful protest;Berlin - Charlottenburg-Wilmersdorf;Die Tageszeitung;War / Peace;International; Solidarity with Israel / against every anti-semitism and islamism, antifa means solidarity with israel;Solidarity;;;;around 100 individuals staged a protest in front of the University of Arts in Berlin - Charlottenburg-Wilmersdorf (Berlin) with the motto 'Against every anti-Semitism and Islamism. Antifa means solidarity with Israel', demanding the immediate release of all hostages in the Israel-Hamas War and expressing support for Israel.;On 7 January 2024, around 100 individuals staged a protest in front of the University of Arts in Berlin - Charlottenburg-Wilmersdorf (Berlin) with the motto 'Against every anti-Semitism and Islamism. Antifa means solidarity with Israel', demanding the immediate release of all hostages in the Israel-Hamas War and expressing support for Israel.;3;100;
